Onderwijssector,education_sector,education_type,Onderwijstype,Opleidingscode,Naam,Omschrijving,Begindatum,Einddatum,is_active,Niveau,Leerweg
MBO,vocational,,BBO (pre-CREBO),0001,Timmerkracht,Timmerkracht,1984-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0002,Betonmodelmaker,Betonmodelmaker,1982-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0003,Betontimmerkracht,Betontimmerkracht,1983-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0004,Betonstaalvlechter,Betonstaalvlechter,1982-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0005,Natuursteenbewerker,Natuursteenbewerker,1982-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0006,Ovenbouwmetselaar,Ovenbouwmetselaar,1982-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0007,Metselaar,Metselaar,1982-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0008,Tegelzetter,Tegelzetter,1982-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0009,Voeger,Voeger,1984-08-01,1998-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0012,Naaister i/d tricotindus,Naaister in de tricotindustrie,1957-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0022,Maatkleding (kleinwerk),Maatkleding (kleinwerk),1957-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0027,Ber v banketprod i/e fabr,Bereiden van banketproducten in een fabriek,1965-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0028,Ber v brood i/e fabriek,Bereiden van brood in een fabriek,1965-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0029,2e banketbakkersbediende,Tweede banketbakkersbediende,1973-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0030,Chocoladebereider &-verw,Chocoladebereider en-verwerker,1978-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0031,Suikerwerkbereider,Suikerwerkbereider,1978-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0039,Luxe brood/banketbakker,Luxe brood/banketbakker,1978-08-01,1994-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0040,1e banketbakkersbediende,Eerste banketbakkersbediende,1973-08-01,1996-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0041,Spec i/h banketbakkersbed,Specialist in het banketbakkersbedrijf,1976-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0058,Mont elek vliegtuiginstal,Monteur elektrische vliegtuiginstallaties,1976-08-01,1996-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0060,Monteur telecommunicaties,Monteur telecommunicaties,1983-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0062,Monteur elek railvoert,Monteur elektrische railvoertuigen,1983-08-01,1996-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0071,Ass mont elektron montage,Assistent monteur elektronische montage,1984-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0072,1e mont laagspanningsnet,Eerste monteur laagspanningsnetten,1979-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0073,1e mont elek best install,Eerste monteur elektrische besturingsinstallaties,1980-01-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0074,1e mont elektro best inst,Eerste monteur elektronische besturingsinstallaties,1983-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0075,1e mont hoogspanninsinst,Eerste monteur hoogspanningsinstallaties,1983-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0078,Dameskapper/dameskapster,Dameskapper/dameskapster,1978-08-01,1997-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0079,Herenkapper,Herenkapper,1983-08-01,1996-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0080,Kapster/beautynette,Kapster/beautynette,1980-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0081,Gereedsch sl i/d hout- en,Gereedschapsslijper in de hout- en kunststofbewerking,1984-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0082,Machinaal houtbewerker,Machinaal houtbewerker,1979-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0087,Houten jacht-en botenbouw,Houten jacht- en botenbouwer,1986-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0088,Meubelmkr i/d scheepsbeti,Meubelmaker in de scheepsbetimmeringen,1981-08-01,1998-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0093,Rietmeubelmaken,Rietmeubelmaken,1961-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0094,Mach bed houtind (versp),Machinebediende houtindustrie (verspanende machines),1979-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0095,Mach bed houtind (n-vers),Machinebediende houtindustrie (niet-verspanende machines),1979-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0097,Gereedsch sl i/d hout- en,Gereedschapslijper in de hout- en kunststofbewerking,1984-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0098,Machinaal houtbewerker,Machinaal houtbewerker,1979-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0103,Kaderfunct houtindustrie,Kaderfunctionaris houtindustrie,1982-08-01,1997-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0105,Installatietekenaar W,Installatietekenaar W,1982-08-01,1997-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0110,Ass installatietechnicus,Assistent installatietechnicus,1979-08-01,1997-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0113,Centr verwarmingsmonteur,Centrale verwarmingsmonteur,1978-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0114,Servicetechnicus CV,Servicetechnicus centrale verwarming,1983-08-01,1997-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0115,Servicetechnicus luchtbeh,Servicetechnicus luchtbehandeling,1983-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0116,Onderhoudsmonteur CV,Onderhoudsmonteur centrale verwarming,1983-08-01,1997-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0117,Onderhoudsmonteur luchtb,Onderhoudsmonteur luchtbehandeling,1983-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0119,1e mont gawalo-instaltech,Eerste monteur gawalo-installatietechniek,1976-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0120,Middelbaar instaltechn,Middelbaar installatietechnicus,1981-08-01,1997-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0127,Onderh mont landbtrekkers,Onderhoudsmonteur landbouwtrekkers,1972-08-01,1995-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0128,Onderh mont landbouwwerkt,Onderhoudsmonteur landbouwwerktuigen,1972-08-01,1995-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0129,Onderhm lbwerkt en lbtrek,Onderhoudsmonteur landbouwwerktuigen en landbouwtrekkers,1972-08-01,1995-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0131,Combinatiedraaier,Combinatiedraaier,1976-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0135,Instrumentdraaier/-frezer,Instrumentdraaier/-frezer,1976-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0136,Kotteraar,Kotteraar,1976-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0137,Profielslijper,Profielslijper,1976-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0138,Universeel-slijper,Universeel-slijper,1976-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0139,Schaver,Schaver,1976-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0144,Modelmaker (hout),Modelmaker (hout),1978-08-01,2001-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0145,Modelmaker (metaal),Modelmaker (metaal),1978-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0148,Bankw i/d elektrotech ind,Bankwerker in de elektrotechnische industrie,1977-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0152,Fijnbankwerker,Fijnbankwerker,1974-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0154,Instrumentmaker,Instrumentmaker,1974-08-01,2001-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0155,Stempelbankwerker,Stempelbankwerker,1974-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0162,Autogeenlasser,Autogeenlasser,1974-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0165,Lasser,Lasser,1971-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0170,Bankw stalen ramen en deu,Bankwerker stalen ramen en deuren,1971-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0171,Bankw n-fer ramen en deur,Bankwerker non-ferro ramen en deuren,1971-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0172,Kunstst bewerk i/d appbou,Kunststoffenbewerker in de apparatenbouw,1978-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0174,Isoleerder/plaatwerker,Isoleerder/plaatwerker,1983-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0177,Plaatwerker roestvr staal,Plaatwerker roestvrij staal,1974-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0178,Fijnpl werk hand en mach,Fijnplaatwerker hand en machinaal,1978-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0180,Forceur,Forceur,1974-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0183,Bankw stalen ramen en deu,Bankwerker stalen ramen en deuren,1971-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0184,Bankw n-fer ramen en deur,Bankwerker non-ferro ramen en deuren,1971-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0185,Licht plaat-en constr wer,Licht plaat- en constructiewerker,1976-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0191,Machinesteller/bediener,Machinesteller/bediener,1978-08-01,1999-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0192,Bedr mont v/h inst v ind,Bedrijfsmonteur v/h installeren van industr mach en install,1978-08-01,1999-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0195,Onderh mont ind mach inst,Onderhoudsmonteur industriële machines en installaties,1972-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0197,Onderh mont koel app inst,Onderhoudsmonteur koeltechnische apparaten en installaties,1972-08-01,1997-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0205,Install mont meet- regel,Installatiemonteur meet- en regeltechniek,1985-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0206,Onderh mont meet- regel,Onderhoudsmonteur meet- en regeltechniek,1985-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0209,Onderh mont koel app inst,Onderhoudsmonteur koeltechnische apparaten en installaties,1972-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0210,Kaderfunct koeltechniek,Kaderfunctionaris koeltechniek,1984-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0211,Service mnt.koudetechn.,Service monteur koudetechniek,1996-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0212,Projectleider koudetechn.,Projectleider kuodetechniek,1996-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0215,Onderhoudstechnicus,Onderhoudstechnicus,1983-08-01,2000-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0219,Werkvoorbereider,Werkvoorbereider,1983-08-01,1996-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0220,Werktuigbkundig tekenaar,Werktuigbouwkundig tekenaar,1983-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0221,Pol verw i/d scheepsbouw,Polyesterverwerker in de scheepsbouw,1983-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0222,Houtbewerker i/d jachtbou,Houtbewerker in de jachtbouw,1974-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0223,Houten scheepsmaker,Houten scheepsmaker,1959-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0226,Met bew i/d scheeps-app,Metaalbewerker in de scheeps- en apparatenbouw,1974-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0227,Scheepsbeschieter,Scheepsbeschieter,1974-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0230,Asp scheepsmetaalbewerker,Aspirant scheepsmetaalbewerker,1980-08-01,1999-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0232,Vliegtgbouwer(hout&kunst),Vliegtuigbouwer (hout en kunststoffen),1974-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0236,Scheepsbouwer,Scheepsbouwer,1986-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0239,Auto-elektricien,Auto-elektricien,1978-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0243,Luchtvaart gasturbin mont,Luchtvaart gasturbine monteur,1978-08-01,1998-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0248,Hulpmonteur automobielen,Hulpmonteur automobielen,1984-08-01,1999-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0249,Mont pers auto (geïnt lj),Monteur personenautomobielen (met geïntegreerd leerj. P2=V1),1984-08-01,1996-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0250,Mont bedr auto (geïnt lj),Monteur bedrijfsautomobielen (met geïntegreerd leerj P2=V1),1984-08-01,1996-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0256,Adspirant Adaptatietechn.,Adspirant adaptatietechnicus,1988-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0257,Orthopedisch schoentechn,Orthopedisch schoentechnicus,1988-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0258,Bandagist,Bandagist,1977-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0259,Vakkr i/h optbedr 2e berg,Vakkracht in het opticiensbedrijf 2e beroepsgraad,1984-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0260,Ass orthop schoentechn,Assistent orthopedisch schoentechnicus,1991-08-01,2000-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0266,Analist (chemische richt),Analist (chemische richting),1981-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0267,Laborant (chemische rich),Laborant (chemische richting),1981-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0271,Industrieel schoenmaker,Industrieel schoenmaker,1982-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0272,Lederbew lederwarenind,Lederbewerker lederwarenindustrie,1978-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0273,Modelleur schoenindustrie,Modelleur schoenindustrie,1978-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0274,Schoenmaker,Schoenmaker,1976-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0280,Zilversmid (serv en grw),Zilversmid (servies en grootwerk),1977-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0281,Zilversmid (sier en dra),Zilversmid (sieraden en draadwerk),1977-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0282,Graveur (lijn),Graveur (lijn),1976-08-01,1994-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0283,Graveur (machinale bew ),Graveur (machinale bewerking),1976-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0284,Graveur (reliëf en lijn),Graveur (reliëf en lijn),1976-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0285,Graveur (mach bewerk rel),Graveur (machinale bewerking reliëf),1976-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0286,Text vakm garenverw-(brei,Textielvakman garenverwerking-(breien),1976-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0287,Text vakm garenverw,Textielvakman garenverwerking (weven en tuften),1976-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0288,Text vakm prod herstellen,Textielvakman productherstellen (weefsels),1976-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0289,Textielvakman veredeling,Textielvakman veredeling,1976-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0290,Textielvakman vezelverw,Textielvakman vezelverwerking,1976-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0291,Bedieningsvakm garenverw,Bedieningsvakman garenverwerking (breien),1976-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0292,Bedvakman garenverwerking,Bedieningsvakman garenverwerking (weven en tuften),1976-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0293,Bedieningsvakm veredeling,Bedieningsvakman veredeling,1976-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0294,Bedieningsvakm vezelverw,Bedieningsvakman vezelverwerking,1976-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0295,Text spec mach stel mont,Textielspecialist machinestellen en monteren,1983-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0299,Schilder,Schilder,1978-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0300,Stucadoor,Stucadoor,1978-08-01,1996-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0310,Schilder,Schilder,1978-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0311,Stukadoor,Stukadoor,1978-08-01,1995-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0312,Specialist penseeltechn,Specialist penseeltechnieken,1981-08-01,1997-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0313,Specialist schilderen,Specialist schilderen,1981-08-01,1997-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0314,Specialist wandafwerking,Specialist wandafwerking,1981-08-01,1997-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0322,Optiekmaker,Optiekmaker,1974-08-01,2001-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0323,Warmglasbewerker,Warmglasbewerker,1980-08-01,1999-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0324,Koudglasbewerker,Koudglasbewerker,1980-08-01,1999-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0325,Koudglasbewerker,Koudglasbewerker,1980-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0326,Glasinstrumentmaker,Glasinstrumentmaker,1980-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0333,Graf tech modelvoorber/re,Grafisch technicus modelvoorbereiding/reproductie,1983-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0334,Graf tech vouw/geniet bro,Grafisch technicus vouwen/geniet brocheren,1983-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0335,Graf tech kopijvoorber/te,Grafisch technicus kopijvoorbereiding/tekstvervaardiging,1983-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0336,Graf tech snijden/vouwen,Grafisch technicus snijden/vouwen,1983-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0337,Graf tech hoogdr-rotdruk,Grafisch technicus hoogdruk-rotatiedrukken,1983-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0338,Graf tech offset-rotdruk,Grafisch technicus offset-rotatiedrukken,1983-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0341,vakman buisleidingen,Vakman buisleidingen,1976-08-01,1996-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0344,Monteur bronbemalingsinst,Monteur bronbemalingsinstallaties,1979-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0348,Leerl machin torenkranen,Leerling machinist torenkranen,1986-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0354,"Vakkracht gro-,wa- en weg","Vakkracht grond-,water- en wegenbouw",1985-08-01,1996-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0368,Spec verv gev stof ov d w,Specialist vervoer gevaarlijke stoffen over de weg,1986-08-01,1995-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0378,Eerste verkoopmedewerker,Eerste verkoopmedewerker,1979-08-01,1994-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0379,Hoofdverkoopmedewerker,Hoofdverkoopmedewerker,1980-08-01,1994-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0438,Programmable Logic Contr,Programmable Logic Controller,1980-08-01,1994-08-01,False,O,
MBO,vocational,,BBO (pre-CREBO),0458,1e medewerker snijzaal,Eerste medewerker snijzaal,1990-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0459,1e medewerker naaizaal,Eerste medewerker naaizaal,1990-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0465,Baksch/dekkn i/h baggerbe,Bakschipper/dekknecht in het baggerbedrijf,1984-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0466,Matroos i/d Rijn- en binn,Matroos in de Rijn- en binnenvaart,1984-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0467,Maatkleermaker kleinvak,Maatkleermaker kleinvak (dames- en/of herenkleding),1985-08-01,1999-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0468,Asp orthop schoentechnic,Aspirant orthopedisch schoentechnicus,1984-08-01,1999-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0469,Orthop instrumentmaker,Orthopedisch instrumentmaker,1984-08-01,1999-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0470,Orthop instrumentmaker,Orthopedisch instrumentmaker,1984-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0474,Dameskapper,Dameskapper,1985-08-01,1997-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0475,Herenkapper,Herenkapper,1985-08-01,1997-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0476,Dames- en herenkapper,Dames- en herenkapper,1985-08-01,1998-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0477,Monteur sterkstroominstal,Monteur sterkstroominstallaties,1983-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0478,Mont elek bedr install,Monteur elektrische bedrijfsinstallaties,1983-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0480,Mont elek en elektro bedr,Monteur elektrische en elektronische bedrijfsapparatuur,1980-08-01,1996-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0482,Mont laagspanningsnetten,Monteur laagspanningsnetten,1986-08-01,1996-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0483,Mont elektrotech wikkelen,Monteur elektrotechnisch wikkelen,1986-08-01,1996-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0484,Mont elektrtech panelen,Monteur elektrotechnische panelen,1986-08-01,1996-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0486,Mont tv-en radioapparatuu,Monteur televisie- en radioapparatuur,1986-08-01,1996-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0487,Mont industriële elektro,Monteur industriële elektronica,1986-08-01,1996-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0488,Ass tech sterkstroominsta,Assistent technicus sterkstroominstallaties,1986-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0489,Ass tech elektr bedrinsta,Assistent technicus elektrische bedrijfsinstallaties,1986-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0490,Ass tech ind electronica,Assistent technicus industriële elektronica,1986-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0491,Ass tech tv-en radioapp,Assistent technicus televisie- en radioapparatuur,1986-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0492,Ass tech commsystemen,Assistent technicus communicatiesystemen,1987-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0493,Technicus sterkstr inst,Technicus sterkstroominstallaties,1988-08-01,1994-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0494,Tech elek bedr instal,Technicus elektrische bedrijfsinstallaties,1988-08-01,1994-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0495,Tech indus elektronica,Technicus industriële elektronica,1988-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0496,Tech tv- en radioapparat,Technicus televisie- en radioapparatuur,1988-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0497,Tech communicatiesysteem,Technicus communicatiesystemen,1988-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0498,Graf tech rep-mon/grm/vvv,Grafisch technicus repro-montage/grootmontage/vormvervaard.,1983-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0499,Graf tech montage/vormver,Grafisch technicus montage/vormvervaardiging,1983-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0500,Graf tech flexodrukken,Grafisch technicus flexodrukken,1983-08-01,1998-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0506,Vliegtuigbouwer (metaal),Vliegtuigbouwer (metaal),1987-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0507,Vliegtuigbouwer (kunstst),Vliegtuigbouwer (kunststoffen),1987-08-01,1995-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0509,Scheepsmetaalbewerker,Scheepsmetaalbewerker,1986-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0510,Pijpmonteur,Pijpmonteur,1990-08-01,1995-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0511,Schoenherstellersgezel,Schoenherstellersgezel,1986-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0514,Leerl machmont gr-wa-sp-,Leerling machinemonteur grond- water- spoor- en wegenbouw,1986-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0515,"Mach mont gr-,wa-,sp- weg","Machinemonteur grond-,water-,spoor- en wegenbouw",1986-08-01,1999-08-01,False,Z,
MBO,vocational,,BBO (pre-CREBO),0516,Leerl mach mobiele kranen,Leerling machinist mobiele kranen,1986-08-01,2000-08-01,False,B,
MBO,vocational,,BBO (pre-CREBO),0517,Machinist mobiele kranen,Machinist mobiele kranen,1986-08-01,1998-08-01,False,Z,
