NR_ADMIN_VAN,CODE_FUNCTIE_VAN,CODE_SOORT_VAN,CODE_WET_VAN,NR_ADMIN_NAAR,CODE_FUNCTIE_NAAR,CODE_SOORT_NAAR,CODE_WET_NAAR,DT_OVERGANG,CODE_OVERGANG,NAAM_OVERGANG,IND_VOLLEDIG,CODE_STAND_RECORD
"09KM","U","BAS","WPO","06HM","U","BAS","WPO",1-8-2001,"F","Fusie","J","H"
"09KM00","D","VST","WPO","06HM01","D","VST","WPO",1-8-2001,"F","Fusie","J","H"
"09KN","U","BAS","WPO","06HN","U","BAS","WPO",1-8-2024,"F","Fusie","J","H"
"09KN00","D","VST","WPO","06HN00","D","VST","WPO",1-8-2024,"F","Fusie","J","H"
"09KX","U","BAS","WPO","10FZ","U","BAS","WPO",1-8-2016,"F","Fusie","J","H"
"09KX00","D","VST","WPO","10FZ00","D","VST","WPO",1-8-2016,"F","Fusie","J","H"
"09LA","U","BAS","WPO","08LV","U","BAS","WPO",1-8-2013,"F","Fusie","J","H"
"09LA00","D","VST","WPO","08LV00","D","VST","WPO",1-8-2013,"F","Fusie","J","H"
"09LH","U","BAS","WPO","03PD","U","BAS","WPO",1-8-2010,"F","Fusie","J","H"
"09LH00","D","VST","WPO","03PD00","D","VST","WPO",1-8-2010,"F","Fusie","J","H"
"09LY","U","BAS","WPO","07TH","U","BAS","WPO",1-8-2020,"F","Fusie","J","H"
"09LY00","D","VST","WPO","07TH00","D","VST","WPO",1-8-2020,"F","Fusie","J","H"
"09MB","U","BAS","WPO","03ST","U","BAS","WPO",1-8-1999,"F","Fusie","N","H"
"09MC","U","BAS","WPO","10GZ","U","BAS","WPO",1-8-2006,"F","Fusie","J","H"
"09MC00","D","VST","WPO","10GZ00","D","VST","WPO",1-8-2006,"F","Fusie","J","H"
"09MD","U","BAS","WPO","10XU","U","BAS","WPO",1-8-1999,"F","Fusie","N","H"
"09ME","U","BAS","WPO","07CQ","U","BAS","WPO",1-8-2013,"F","Fusie","J","H"
"09ME00","D","VST","WPO","07CQ00","D","VST","WPO",1-8-2013,"F","Fusie","J","H"
"09MI","U","BAS","WPO","04QT","U","BAS","WPO",1-8-2008,"F","Fusie","J","H"
"09MI00","D","VST","WPO","04QT00","D","VST","WPO",1-8-2008,"F","Fusie","J","H"
"09NB","U","BAS","WPO","10WF","U","BAS","WPO",1-8-2001,"V","Overdracht","J","H"
"09NB00","D","VST","WPO","10WF00","D","VST","WPO",1-8-2001,"F","Fusie","J","H"
"09NF","U","BAS","WPO","10HT","U","BAS","WPO",1-8-2015,"F","Fusie","J","H"
"09NF00","D","VST","WPO","10HT00","D","VST","WPO",1-8-2015,"F","Fusie","J","H"
"09NK","U","BAS","WPO","10HY","U","BAS","WPO",1-8-1997,"F","Fusie","N","H"
"09NL","U","BAS","WPO","12NN","U","BAS","WPO",1-8-2018,"F","Fusie","J","H"
"09NL00","D","VST","WPO","12NN00","D","VST","WPO",1-8-2018,"F","Fusie","J","H"
"09NQ","U","BAS","WPO","10ID","U","BAS","WPO",1-8-2013,"F","Fusie","J","H"
"09NQ00","D","VST","WPO","10ID00","D","VST","WPO",1-8-2013,"F","Fusie","J","H"
"09OC","U","BAS","WPO","08PO","U","BAS","WPO",1-8-1998,"F","Fusie","N","H"
"09OJ","U","BAS","WPO","06XA","U","BAS","WPO",1-8-2012,"F","Fusie","J","H"
"09OJ00","D","VST","WPO","06XA00","D","VST","WPO",1-8-2012,"F","Fusie","J","H"
"09OR","U","HBOS","WHW","25DW","U","HBOS","WHW",1-9-2011,"F","Fusie","J","H"
"09OR00","D","LOC","WHW","25DW00","D","LOC","WHW",1-9-2011,"F","Fusie","J","H"
"09OW","U","BAS","WPO","27MK","U","BAS","WPO",1-8-2001,"V","Overdracht","J","H"
"09OW00","D","VST","WPO","27MK00","D","VST","WPO",1-8-2001,"V","Overdracht","J","H"
"09PG","U","BAS","WPO","10JK","U","BAS","WPO",1-8-2013,"F","Fusie","J","H"
"09PG00","D","VST","WPO","10JK00","D","VST","WPO",1-8-2013,"F","Fusie","J","H"
"09PK","U","BAS","WPO","10JN","U","BAS","WPO",1-8-2008,"F","Fusie","J","H"
"09PK00","D","VST","WPO","10JN00","D","VST","WPO",1-8-2008,"F","Fusie","J","H"
"09PS","U","BAS","WPO","08RK","U","BAS","WPO",1-8-2000,"F","Fusie","N","H"
"09PT","U","BAS","WPO","10JT","U","BAS","WPO",1-8-2004,"V","Overdracht","J","H"
"09PT00","D","VST","WPO","10JT01","D","VST","WPO",1-8-2004,"V","Overdracht","J","H"
"09QM","U","VOS","WVO","08SG","U","VOS","WVO",1-8-2008,"F","Fusie","J","H"
"09QM00","D","VST","WVO","08SG06","D","VST","WVO",1-8-2008,"F","Fusie","J","H"
"09QU","U","BAS","WPO","03WZ","U","BAS","WPO",1-8-2007,"F","Fusie","J","H"
"09QU00","D","VST","WPO","03WZ00","D","VST","WPO",1-8-2007,"F","Fusie","J","H"
"09QV","U","BAS","WPO","08SQ","U","BAS","WPO",1-8-2019,"F","Fusie","J","H"
"09QV00","D","VST","WPO","08SQ00","D","VST","WPO",1-8-2019,"F","Fusie","J","H"
"09QW","U","SBAS","WPO","08SR","U","SBAS","WPO",1-8-2001,"F","Fusie","N","H"
"09QW00","D","VST","WPO","08SR00","D","VST","WPO",1-8-2001,"F","Fusie","J","H"
"09RB","U","BAS","WPO","07LV","U","BAS","WPO",1-8-2015,"F","Fusie","J","H"
"09RB00","D","VST","WPO","07LV00","D","VST","WPO",1-8-2015,"F","Fusie","J","H"
"09RC","U","BAS","WPO","08SW","U","BAS","WPO",1-8-2018,"F","Fusie","J","H"
"09RC00","D","VST","WPO","08SW00","D","VST","WPO",1-8-2018,"F","Fusie","J","H"
"09RD","U","BAS","WPO","10SO","U","BAS","WPO",1-8-2015,"F","Fusie","J","H"
"09RD00","D","VST","WPO","10SO01","D","VST","WPO",1-8-2015,"F","Fusie","J","H"
"09RT","U","BAS","WPO","08TM","U","BAS","WPO",1-8-2008,"F","Fusie","J","H"
"09RT00","D","VST","WPO","08TM00","D","VST","WPO",1-8-2008,"F","Fusie","J","H"
"09SE","U","BAS","WPO","11OA","U","BAS","WPO",1-8-2013,"F","Fusie","J","H"
"09SE00","D","VST","WPO","11OA04","D","VST","WPO",1-8-2013,"F","Fusie","J","H"
"09SH","U","BAS","WPO","11OC","U","BAS","WPO",1-8-2007,"F","Fusie","J","H"
"09SH00","D","VST","WPO","11OC00","D","VST","WPO",1-8-2007,"F","Fusie","J","H"
"09SR","U","BAS","WPO","13XU","U","BAS","WPO",1-8-2017,"F","Fusie","J","H"
"09SR00","D","VST","WPO","13XU00","D","VST","WPO",1-8-2017,"F","Fusie","J","H"
"09SV","U","BAS","WPO","04NU","U","BAS","WPO",1-8-2016,"F","Fusie","J","H"
"09SV00","D","VST","WPO","04NU00","D","VST","WPO",1-8-2016,"F","Fusie","J","H"
"09SY","U","BAS","WPO","12YQ","U","BAS","WPO",1-8-2021,"F","Fusie","J","H"
"09SY00","D","VST","WPO","12YQ00","D","VST","WPO",1-8-2021,"F","Fusie","J","H"
"09TA","U","BAS","WPO","24NB","U","BAS","WPO",1-8-2014,"F","Fusie","J","H"
"09TA00","D","VST","WPO","24NB00","D","VST","WPO",1-8-2014,"F","Fusie","J","H"
"09TK","U","BAS","WPO","08NL","U","BAS","WPO",1-8-2015,"F","Fusie","J","H"
"09TK00","D","VST","WPO","08NL00","D","VST","WPO",1-8-2015,"F","Fusie","J","H"
"09TU","U","BAS","WPO","10NA","U","BAS","WPO",1-8-2016,"F","Fusie","J","H"
"09TU00","D","VST","WPO","10NA00","D","VST","WPO",1-8-2016,"F","Fusie","J","H"
"09UC","U","BAS","WPO","08WC","U","BAS","WPO",1-8-2007,"F","Fusie","J","H"
"09UC00","D","VST","WPO","08WC00","D","VST","WPO",1-8-2007,"F","Fusie","J","H"
"09UP","U","BAS","WPO","11CV","U","BAS","WPO",1-8-2003,"V","Overdracht","J","H"
"09UP00","D","VST","WPO","11CV01","D","VST","WPO",1-8-2003,"V","Overdracht","J","H"
"09UV","U","BAS","WPO","08XC","U","BAS","WPO",1-8-2011,"F","Fusie","J","H"
"09UV00","D","VST","WPO","08XC00","D","VST","WPO",1-8-2011,"F","Fusie","J","H"
"09VD","U","BAS","WPO","04XL","U","BAS","WPO",1-8-2017,"F","Fusie","J","H"
"09VD00","D","VST","WPO","04XL00","D","VST","WPO",1-8-2017,"F","Fusie","J","H"
"09VM","U","SPEC","WEC","17GW","U","SPEC","WEC",1-8-2015,"F","Fusie","J","H"
"09VM00","D","VST","WEC","17GW23","D","VST","WEC",1-8-2015,"F","Fusie","J","H"
"09VT","U","BAS","WPO","07QW","U","BAS","WPO",1-8-2017,"F","Fusie","J","H"
"09VT00","D","VST","WPO","07QW00","D","VST","WPO",1-8-2017,"F","Fusie","J","H"
"09VX","U","BAS","WPO","05LN","U","BAS","WPO",1-8-2017,"F","Fusie","J","H"
"09VX00","D","VST","WPO","05LN00","D","VST","WPO",1-8-2017,"F","Fusie","J","H"
"09WG","U","SBAS","WPO","02FI","U","SBAS","WPO",1-8-2015,"F","Fusie","J","H"
"09WG00","D","VST","WPO","02FI00","D","VST","WPO",1-8-2015,"F","Fusie","J","H"
"09WI","U","BAS","WPO","08YT","U","BAS","WPO",1-8-2010,"F","Fusie","J","H"
"09WI00","D","VST","WPO","08YT00","D","VST","WPO",1-8-2010,"F","Fusie","J","H"
"09WQ","U","BAS","WPO","11EF","U","BAS","WPO",1-8-1999,"F","Fusie","N","H"
"09WR","U","BAS","WPO","07TO","U","BAS","WPO",1-8-2003,"F","Fusie","N","H"
"09WR00","D","VST","WPO","07TO00","D","VST","WPO",1-8-2003,"F","Fusie","N","H"
"09WV","U","SBAS","WPO","14VJ","U","SBAS","WPO",1-8-1999,"F","Fusie","N","H"
"09WV00","D","VST","WPO","14VJ02","D","VST","WPO",1-8-1999,"F","Fusie","N","H"
"09WZ","U","BAS","WPO","05HH","U","BAS","WPO",1-8-2006,"V","Overdracht","J","H"
"09WZ00","D","VST","WPO","05HH00","D","VST","WPO",1-8-2006,"V","Overdracht","J","H"
"09XE","U","BAS","WPO","07BH","U","BAS","WPO",1-8-2013,"F","Fusie","J","H"
"09XE00","D","VST","WPO","07BH01","D","VST","WPO",1-8-2013,"F","Fusie","J","H"
"09XK","U","SPEC","WEC","19XH","U","VOS","WVO",1-8-2002,"V","Overdracht","N","H"
"09XK00","D","VST","WEC","19XH07","D","VST","WVO",1-8-2002,"V","Overdracht","N","H"
"09XT","U","BAS","WPO","09AW","U","BAS","WPO",1-8-2018,"F","Fusie","J","H"
"09XT00","D","VST","WPO","09AW00","D","VST","WPO",1-8-2018,"F","Fusie","J","H"
"09YL","U","BAS","WPO","09CB","U","BAS","WPO",1-8-2012,"F","Fusie","J","H"
"09YL00","D","VST","WPO","09CB00","D","VST","WPO",1-8-2012,"F","Fusie","J","H"
"09YQ","U","BAS","WPO","03ES","U","BAS","WPO",1-8-2023,"F","Fusie","J","H"
"09YQ00","D","VST","WPO","03ES00","D","VST","WPO",1-8-2023,"F","Fusie","J","H"
"09ZB","U","BAS","WPO","13KW","U","BAS","WPO",1-8-2007,"F","Fusie","J","H"
"09ZB00","D","VST","WPO","13KW00","D","VST","WPO",1-8-2007,"F","Fusie","J","H"
"09ZC","U","BAS","WPO","10RF","U","BAS","WPO",1-8-2010,"F","Fusie","J","H"
"09ZC00","D","VST","WPO","10RF00","D","VST","WPO",1-8-2010,"F","Fusie","J","H"
"09ZI","U","BAS","WPO","11LY","U","BAS","WPO",1-8-2023,"F","Fusie","J","H"
"09ZI00","D","VST","WPO","11LY00","D","VST","WPO",1-8-2023,"F","Fusie","J","H"
"09ZM","U","BAS","WPO","08DF","U","BAS","WPO",1-8-2014,"F","Fusie","J","H"
"09ZM00","D","VST","WPO","08DF00","D","VST","WPO",1-8-2014,"F","Fusie","J","H"
"09ZV","U","BAS","WPO","12CO","U","BAS","WPO",1-8-2014,"F","Fusie","J","H"
"09ZV00","D","VST","WPO","12CO00","D","VST","WPO",1-8-2014,"F","Fusie","J","H"
"0902","S","B&W",,"1711","S","B&W",,1-1-2003,"V","Overdracht","J","H"
"0904","S","SWPO","WPO","0902","S","SWPO","WPO",1-8-2003,"V","Overdracht","N","H"
"0905","S","B&W",,"1903","S","B&W",,1-1-2011,"F","Fusie","J","H"
"0906","B","LAOV",,"18501","B","LAOV",,1-1-2001,"F","Fusie","J","H"
"0906","S","B&W",,"1883","S","B&W",,1-1-2001,"F","Fusie","J","H"
"0912","B","LAOV",,"18460","B","LAOV",,1-1-2001,"F","Fusie","J","H"
"0912","S","B&W",,"1507","S","B&W",,1-1-2001,"F","Fusie","J","H"
"0914","S","B&W",,"1640","S","B&W",,1-1-2007,"V","Overdracht","N","H"
"0918","S","B&W",,"1894","S","B&W",,1-1-2010,"V","Overdracht","J","H"
"092","O","AK",,"065","O","AK",,1-8-2007,"V","Overdracht","N","H"
"092","O","AK",,"102","O","AK",,1-8-2001,"V","Overdracht","N","H"
"0920","S","B&W",,"1640","S","B&W",,1-1-2007,"V","Overdracht","N","H"
"0923","B","LAOV",,"18460","B","LAOV",,1-1-2001,"F","Fusie","J","H"
"0923","S","B&W",,"1507","S","B&W",,1-1-2001,"F","Fusie","J","H"
"0925","S","B&W",,"1640","S","B&W",,1-1-2007,"V","Overdracht","N","H"
"0929","S","B&W",,"1894","S","B&W",,1-1-2010,"V","Overdracht","J","H"
"0933","S","B&W",,"1641","S","B&W",,1-1-2007,"V","Overdracht","N","H"
"0934","S","B&W",,"1894","S","B&W",,1-1-2010,"V","Overdracht","J","H"
"0936","S","B&W",,"1903","S","B&W",,1-1-2011,"F","Fusie","J","H"
"0941","S","B&W",,"1894","S","B&W",,1-1-2010,"V","Overdracht","J","H"
"0951","S","B&W",,"1954","S","B&W",,1-1-2019,"V","Overdracht","N","H"
"0962","S","B&W",,"1954","S","B&W",,1-1-2019,"V","Overdracht","N","H"
"0964","S","B&W",,"1507","S","B&W",,1-1-2010,"V","Overdracht","J","H"
"0968","B","LAOV",,"18501","B","LAOV",,1-1-2001,"V","Overdracht","J","H"
"0968","S","B&W",,"1883","S","B&W",,1-1-2001,"V","Overdracht","J","H"
"0975","S","B&W",,"0957","S","B&W",,1-1-2007,"V","Overdracht","N","H"
"0976","B","LAOV",,"18453","B","LAOV",,1-1-2001,"F","Fusie","J","H"
"0976","S","B&W",,"0983","S","B&W",,1-1-2001,"F","Fusie","J","H"
"0977","S","B&W",,"1641","S","B&W",,1-1-2007,"V","Overdracht","N","H"
"098","O","AK",,"008","O","AK",,1-8-2001,"V","Overdracht","N","H"
"098","O","AK",,"102","O","AK",,1-1-2005,"V","Overdracht","N","H"
"098","O","AK",,"102","O","AK",,1-4-2005,"V","Overdracht","N","H"
"098","O","AK",,"102","O","AK",,1-1-2006,"V","Overdracht","N","H"
"098","O","AK",,"136","O","AK",,1-1-2019,"V","Overdracht","N","H"
"098","O","AK",,"696","O","AK",,1-8-2004,"V","Overdracht","N","H"
"0993","S","B&W",,"0984","S","B&W",,1-1-2010,"S","Splitsing","N","H"
"0993","S","B&W",,"1507","S","B&W",,1-1-2010,"S","Splitsing","J","H"
"10AO","U","BAS","WPO","08EM","U","BAS","WPO",1-8-2004,"F","Fusie","J","H"
"10AO00","D","VST","WPO","08EM00","D","VST","WPO",1-8-2004,"F","Fusie","J","H"
"10AU","U","BAS","WPO","00BB","U","BAS","WPO",1-8-2013,"F","Fusie","J","H"
"10AU00","D","VST","WPO","00BB00","D","VST","WPO",1-8-2013,"F","Fusie","J","H"
"10BB","U","BAS","WPO","08EZ","U","BAS","WPO",1-8-2016,"F","Fusie","J","H"
"10BB00","D","VST","WPO","08EZ00","D","VST","WPO",1-8-2016,"F","Fusie","J","H"
"10BC","U","BAS","WPO","09ZS","U","BAS","WPO",1-8-2018,"F","Fusie","J","H"
"10BC00","D","VST","WPO","09ZS00","D","VST","WPO",1-8-2018,"F","Fusie","J","H"
"10BD","U","BAS","WPO","09FF","U","BAS","WPO",1-8-2022,"F","Fusie","J","H"
"10BD00","D","VST","WPO","09FF00","D","VST","WPO",1-8-2022,"F","Fusie","J","H"
"10BL","U","BAS","WPO","08FJ","U","BAS","WPO",1-8-2016,"F","Fusie","J","H"
"10BL00","D","VST","WPO","08FJ00","D","VST","WPO",1-8-2016,"F","Fusie","J","H"
"10BT","U","BAS","WPO","05TS","U","BAS","WPO",1-8-2017,"F","Fusie","J","H"
"10BT00","D","VST","WPO","05TS00","D","VST","WPO",1-8-2017,"F","Fusie","J","H"
"10BU","U","BAS","WPO","09FW","U","BAS","WPO",1-8-2019,"F","Fusie","J","H"
"10BU00","D","VST","WPO","09FW00","D","VST","WPO",1-8-2019,"F","Fusie","J","H"
"10BW","U","SPEC","WEC","20WR","U","SPEC","WEC",1-8-2015,"F","Fusie","J","H"
"10BW00","D","VST","WEC","20WR07","D","VST","WEC",1-8-2015,"F","Fusie","J","H"
"10BW02","D","VST","WEC","20WR06","D","VST","WEC",1-8-2015,"F","Fusie","J","H"
"10BW03","D","VST","WEC","20WR05","D","VST","WEC",1-8-2015,"F","Fusie","J","H"
"10CG","U","BAS","WPO","18DS","U","BAS","WPO",1-8-2009,"F","Fusie","J","H"
"10CG00","D","VST","WPO","18DS01","D","VST","WPO",1-8-2009,"F","Fusie","J","H"
"10CM","U","BAS","WPO","13MW","U","BAS","WPO",1-8-2007,"F","Fusie","J","H"
"10CM00","D","VST","WPO","13MW00","D","VST","WPO",1-8-2007,"F","Fusie","J","H"
"10CX","U","BAS","WPO","13AZ","U","BAS","WPO",1-8-2001,"F","Fusie","J","H"
"10CX00","D","VST","WPO","13AZ01","D","VST","WPO",1-8-2001,"F","Fusie","J","H"
"10CZ","U","BAS","WPO","09HI","U","BAS","WPO",1-8-2017,"F","Fusie","J","H"
"10CZ00","D","VST","WPO","09HI00","D","VST","WPO",1-8-2017,"F","Fusie","J","H"
"10DJ","U","BAS","WPO","10UZ","U","BAS","WPO",1-8-2018,"F","Fusie","J","H"
"10DJ00","D","VST","WPO","10UZ00","D","VST","WPO",1-8-2018,"F","Fusie","J","H"
"10DR","U","BAS","WPO","11UY","U","BAS","WPO",1-8-2014,"F","Fusie","J","H"
"10DR00","D","VST","WPO","11UY00","D","VST","WPO",1-8-2014,"F","Fusie","J","H"
"10DS","U","BAS","WPO","08BY","U","BAS","WPO",1-8-2016,"F","Fusie","J","H"
"10DS00","D","VST","WPO","08BY00","D","VST","WPO",1-8-2016,"F","Fusie","J","H"
"10DY","U","BAS","WPO","05BG","U","BAS","WPO",1-8-2021,"F","Fusie","J","H"
"10DY00","D","VST","WPO","05BG00","D","VST","WPO",1-8-2021,"F","Fusie","J","H"
"10DZ","U","BAS","WPO","10VM","U","BAS","WPO",1-8-2013,"F","Fusie","J","H"
"10DZ00","D","VST","WPO","10VM00","D","VST","WPO",1-8-2013,"F","Fusie","J","H"
"10EO","U","BAS","WPO","11QW","U","BAS","WPO",1-8-2020,"F","Fusie","J","H"
"10EO00","D","VST","WPO","11QW00","D","VST","WPO",1-8-2020,"F","Fusie","J","H"
"10EV","U","BAS","WPO","09JJ","U","BAS","WPO",1-8-2006,"F","Fusie","J","H"
"10EV00","D","VST","WPO","09JJ00","D","VST","WPO",1-8-2006,"F","Fusie","J","H"
"10FA","U","BAS","WPO","11ZE","U","BAS","WPO",1-8-2014,"F","Fusie","J","H"
"10FA00","D","VST","WPO","11ZE00","D","VST","WPO",1-8-2014,"F","Fusie","J","H"
"10FB","U","BAS","WPO","11MW","U","BAS","WPO",1-8-2004,"F","Fusie","J","H"
"10FB00","D","VST","WPO","11MW00","D","VST","WPO",1-8-2004,"F","Fusie","J","H"
"10FD","U","BAS","WPO","09JX","U","BAS","WPO",1-8-2018,"F","Fusie","J","H"
"10FD00","D","VST","WPO","09JX00","D","VST","WPO",1-8-2018,"F","Fusie","J","H"
"10FK","U","BAS","WPO","09KG","U","BAS","WPO",1-8-2001,"F","Fusie","J","H"
"10FK00","D","VST","WPO","09KG00","D","VST","WPO",1-8-2001,"F","Fusie","J","H"
"10GF","U","BAS","WPO","15IQ","U","BAS","WPO",1-8-2006,"F","Fusie","J","H"
"10GF00","D","VST","WPO","15IQ00","D","VST","WPO",1-8-2006,"F","Fusie","J","H"
"10GH","U","BAS","WPO","09LF","U","BAS","WPO",1-8-2002,"F","Fusie","N","H"
"10GH00","D","VST","WPO","09LF01","D","VST","WPO",1-8-2002,"F","Fusie","N","H"
"10GS","U","BAS","WPO","09LR","U","BAS","WPO",1-8-2012,"F","Fusie","J","H"
"10GS00","D","VST","WPO","09LR00","D","VST","WPO",1-8-2012,"F","Fusie","J","H"
"10GU","U","BAS","WPO","09LT","U","BAS","WPO",1-8-2001,"F","Fusie","J","H"
"10GU00","D","VST","WPO","09LT00","D","VST","WPO",1-8-2001,"F","Fusie","J","H"
"10GV","U","BAS","WPO","12OF","U","BAS","WPO",1-8-2018,"F","Fusie","J","H"
"10GV00","D","VST","WPO","12OF00","D","VST","WPO",1-8-2018,"F","Fusie","J","H"
"10HC","U","BAS","WPO","10XV","U","BAS","WPO",1-8-2019,"F","Fusie","J","H"
"10HC00","D","VST","WPO","10XV00","D","VST","WPO",1-8-2019,"F","Fusie","J","H"
"10HJ","U","BAS","WPO","07NF","U","BAS","WPO",1-8-2015,"F","Fusie","J","H"
"10HJ00","D","VST","WPO","07NF00","D","VST","WPO",1-8-2015,"F","Fusie","J","H"
"10HQ","U","BAS","WPO","09NC","U","BAS","WPO",1-8-1998,"F","Fusie","N","H"
"10HR","U","BAS","WPO","05PD","U","BAS","WPO",1-8-2023,"F","Fusie","J","H"
"10HR00","D","VST","WPO","05PD00","D","VST","WPO",1-8-2023,"F","Fusie","J","H"
"10HW","U","BAS","WPO","09NH","U","BAS","WPO",1-8-2014,"F","Fusie","J","H"
"10HW00","D","VST","WPO","09NH00","D","VST","WPO",1-8-2014,"F","Fusie","J","H"
"10IA","U","BAS","WPO","11YL","U","BAS","WPO",1-8-2006,"F","Fusie","J","H"
"10IA00","D","VST","WPO","11YL00","D","VST","WPO",1-8-2006,"F","Fusie","J","H"
"10IB","U","BAS","WPO","09NN","U","BAS","WPO",1-8-2014,"F","Fusie","J","H"
"10IB00","D","VST","WPO","09NN01","D","VST","WPO",1-8-2014,"F","Fusie","J","H"
"10IH","U","BAS","WPO","09NT","U","BAS","WPO",1-8-2012,"F","Fusie","J","H"
"10IH00","D","VST","WPO","09NT00","D","VST","WPO",1-8-2012,"F","Fusie","J","H"
"10IR","U","SBAS","WPO","02GQ","U","SBAS","WPO",1-8-1999,"F","Fusie","N","H"
"10IR00","D","VST","WPO","02GQ01","D","VST","WPO",1-8-1999,"F","Fusie","N","H"
"10IT","U","BAS","WPO","10YU","U","BAS","WPO",1-8-2007,"F","Fusie","J","H"
"10IT00","D","VST","WPO","10YU00","D","VST","WPO",1-8-2007,"F","Fusie","J","H"
"10JD","U","BAS","WPO","27MK","U","BAS","WPO",1-8-2001,"V","Overdracht","J","H"
"10JD00","D","VST","WPO","27MK00","D","VST","WPO",1-8-2001,"V","Overdracht","J","H"
"10JG","U","SBAS","WPO","11XT","U","SBAS","WPO",1-8-2007,"F","Fusie","J","H"
"10JG00","D","VST","WPO","11XT00","D","VST","WPO",1-8-2007,"F","Fusie","J","H"
"10JW","U","BAS","WPO","09PX","U","BAS","WPO",1-8-2000,"F","Fusie","N","H"
"10JW00","D","VST","WPO","09PX01","D","VST","WPO",1-8-2000,"F","Fusie","N","H"
"10JX","U","BAS","WPO","10ZU","U","BAS","WPO",1-8-2021,"F","Fusie","J","H"
"10JX00","D","VST","WPO","10ZU00","D","VST","WPO",1-8-2021,"F","Fusie","J","H"
"10JZ","U","BAS","WPO","21LO","U","BAS","WPO",1-8-2013,"F","Fusie","J","H"
"10JZ00","D","VST","WPO","21LO00","D","VST","WPO",1-8-2013,"F","Fusie","J","H"
"10KC","U","BAS","WPO","07SC","U","BAS","WPO",1-8-2016,"F","Fusie","J","H"
"10KC00","D","VST","WPO","07SC00","D","VST","WPO",1-8-2016,"F","Fusie","J","H"
"10KF","U","BAS","WPO","09QG","U","BAS","WPO",1-8-2011,"F","Fusie","J","H"
"10KF00","D","VST","WPO","09QG00","D","VST","WPO",1-8-2011,"F","Fusie","J","H"
"10KK","U","HBOS","WHW","30GB","U","HBOS","WHW",1-9-2011,"F","Fusie","J","H"
"10KK00","D","LOC","WHW","30GB00","D","LOC","WHW",1-9-2011,"F","Fusie","J","H"
"10KK01","D","LOC","WHW","30GB00","D","LOC","WHW",1-9-2011,"F","Fusie","J","H"
"10KL","U","SPEC","WEC","25FU","U","VOS","WVO",1-8-2002,"V","Overdracht","N","H"
"10KL00","D","VST","WEC","25FU07","D","VST","WVO",1-8-2002,"V","Overdracht","N","H"
"10KV","U","BAS","WPO","09QY","U","BAS","WPO",1-8-2002,"F","Fusie","N","H"
"10KV00","D","VST","WPO","09QY00","D","VST","WPO",1-8-2002,"F","Fusie","N","H"
"10LB","U","BAS","WPO","08SX","U","BAS","WPO",1-8-2014,"F","Fusie","J","H"
"10LB00","D","VST","WPO","08SX00","D","VST","WPO",1-8-2014,"F","Fusie","J","H"
"10LC","U","BAS","WPO","11AO","U","BAS","WPO",1-8-2013,"F","Fusie","J","H"
"10LC00","D","VST","WPO","11AO00","D","VST","WPO",1-8-2013,"F","Fusie","J","H"
"10LN","U","BAS","WPO","03JH","U","BAS","WPO",1-8-2017,"F","Fusie","J","H"
"10LN00","D","VST","WPO","03JH00","D","VST","WPO",1-8-2017,"F","Fusie","J","H"
"10LW","U","BAS","WPO","12IT","U","BAS","WPO",1-8-2015,"F","Fusie","J","H"
"10LW00","D","VST","WPO","12IT02","D","VST","WPO",1-8-2015,"F","Fusie","J","H"
"10LZ","U","BAS","WPO","11OC","U","BAS","WPO",1-8-2006,"V","Overdracht","J","H"
"10LZ00","D","VST","WPO","11OC00","D","VST","WPO",1-8-2006,"F","Fusie","J","H"
"10LZ01","D","VST","WPO","11OC01","D","VST","WPO",1-8-2006,"V","Overdracht","J","H"
"10MU","U","BAS","WPO","11CE","U","BAS","WPO",1-8-2002,"F","Fusie","N","H"
"10MU00","D","VST","WPO","11CE00","D","VST","WPO",1-8-2002,"F","Fusie","N","H"
"10MW","U","BAS","WPO","12JD","U","BAS","WPO",1-8-2019,"F","Fusie","J","H"
"10MW00","D","VST","WPO","12JD00","D","VST","WPO",1-8-2019,"F","Fusie","J","H"
"10ND","U","BAS","WPO","18HI","U","BAS","WPO",1-8-2016,"F","Fusie","J","H"
"10ND00","D","VST","WPO","18HI00","D","VST","WPO",1-8-2016,"F","Fusie","J","H"
"10NF","U","BAS","WPO","09UD","U","BAS","WPO",1-8-2001,"F","Fusie","J","H"
"10NF00","D","VST","WPO","09UD00","D","VST","WPO",1-8-2001,"F","Fusie","J","H"
"10NG","U","BAS","WPO","09UE","U","BAS","WPO",1-8-2005,"F","Fusie","J","H"
"10NG00","D","VST","WPO","09UE00","D","VST","WPO",1-8-2005,"F","Fusie","J","H"
"10NJ","U","BAS","WPO","09UG","U","BAS","WPO",1-8-2000,"F","Fusie","N","H"
"10NQ","U","BAS","WPO","11CY","U","BAS","WPO",1-8-2016,"F","Fusie","J","H"
"10NQ00","D","VST","WPO","11CY00","D","VST","WPO",1-8-2016,"F","Fusie","J","H"
"10NR","U","BAS","WPO","11CZ","U","BAS","WPO",1-8-2004,"F","Fusie","J","H"
"10NR00","D","VST","WPO","11CZ00","D","VST","WPO",1-8-2004,"F","Fusie","J","H"
"10NV","U","BAS","WPO","08XG","U","BAS","WPO",1-8-2016,"F","Fusie","J","H"
