NR_ADMIN_VAN,CODE_FUNCTIE_VAN,CODE_SOORT_VAN,CODE_WET_VAN,NR_ADMIN_NAAR,CODE_FUNCTIE_NAAR,CODE_SOORT_NAAR,CODE_WET_NAAR,DT_OVERGANG,CODE_OVERGANG,NAAM_OVERGANG,IND_VOLLEDIG,CODE_STAND_RECORD
"02IS00","D","VST","WVO","20GD00","D","VST","WVO",1-8-2016,"F","Fusie","J","H"
"02IS01","D","VST","WVO","20GD02","D","TVST","WVO",1-8-2016,"F","Fusie","J","H"
"02IX","U","VOS","WVO","02ZR","U","VOS","WVO",1-8-1998,"F","Fusie","N","H"
"02IX00","D","VST","WVO","02ZR03","D","VST","WVO",1-8-1998,"F","Fusie","N","H"
"02JA","U","VOS","WVO","02VT","U","VOS","WVO",1-8-1998,"F","Fusie","N","H"
"02JA00","D","VST","WVO","02VT02","D","VST","WVO",1-8-1998,"F","Fusie","N","H"
"02JA02","D","VSTS","WVO","02VT04","D","VSTS","WVO",1-8-1998,"F","Fusie","J","H"
"02JC","U","ERK","WEB","17BZ","U","VOS","WVO",1-8-1993,"S","Splitsing","N","H"
"02JC","U","ERK","WEB","25PJ","U","ROC","WEB",1-8-1998,"F","Fusie","N","H"
"02JP","U","VOS","WVO","08QR","U","VOS","WVO",1-8-1999,"F","Fusie","N","H"
"02JP00","D","VST","WVO","08QR03","D","VST","WVO",1-8-1999,"F","Fusie","N","H"
"02JW","U","VOS","WVO","04YX","U","VOS","WVO",1-8-1998,"F","Fusie","N","H"
"02JW00","D","VST","WVO","04YX01","D","DIS","WVO",1-8-1998,"F","Fusie","N","H"
"02KF","U","VAK","WEB","30BC","U","BERV","WEB",1-8-2009,"F","Fusie","J","H"
"02KF00","D","LOC","WEB","30BC00","D","VST","WVO",1-8-2009,"F","Fusie","J","H"
"02KF01","D","LOC","WEB","30BC00","D","VST","WVO",1-8-2009,"F","Fusie","J","H"
"02KF02","D","LOC","WEB","30BC00","D","VST","WVO",1-8-2009,"F","Fusie","J","H"
"02KL","U","VOS","WVO","25PY","U","ROCV","WEB",1-8-2000,"F","Fusie","N","H"
"02KL00","D","VST","WVO","25PY08","D","VST","WVO",1-8-2000,"F","Fusie","N","H"
"02KN","U","VOS","WVO","00BD","U","VOS","WVO",1-8-1999,"F","Fusie","N","H"
"02KN00","D","VST","WVO","00BD05","D","VST","WVO",1-8-1999,"F","Fusie","N","H"
"02LC","U","ROCV","WEB","25PY","U","ROCV","WEB",1-1-1998,"F","Fusie","N","H"
"02LD","U","HBOS","WHW","25DW","U","HBOS","WHW",1-9-2005,"F","Fusie","J","H"
"02LD00","D","LOC","WHW","25DW00","D","LOC","WHW",1-9-2005,"F","Fusie","J","H"
"02LG02","D","VST","WVO","02LG06","D","VST","WVO",24-10-2005,"V","Overdracht","J","H"
"02LG04","D","VSTZ","WVO","02LG06","D","VST","WVO",24-10-2005,"V","Overdracht","J","H"
"02LG05","D","VSTZ","WVO","02LG06","D","VST","WVO",24-10-2005,"V","Overdracht","J","H"
"02MF03","D","VSTZ","WVO","02MF00","D","VST","WVO",1-8-2005,"V","Overdracht","N","H"
"02MO","U","SPEC","WEC","17GW","U","SPEC","WEC",1-8-2015,"F","Fusie","J","H"
"02MO00","D","VST","WEC","17GW08","D","VST","WEC",1-8-2015,"F","Fusie","J","H"
"02NA","U","VOS","WVO","21GZ","U","VOS","WVO",1-8-1999,"F","Fusie","N","H"
"02NA00","D","VST","WVO","21GZ06","D","VST","WVO",1-8-1999,"F","Fusie","N","H"
"02NN","U","HBOS","WHW","27UM","U","HBOS","WHW",1-1-2004,"F","Fusie","N","H"
"02NX","U","SPEC","WEC","20GF","U","SBAS","WPO",1-8-1998,"F","Fusie","N","H"
"02NX00","D","VST","WEC","20GF01","D","VST","WPO",1-8-1998,"F","Fusie","N","H"
"02OM","U","SPEC","WEC","17GW","U","SPEC","WEC",1-8-2015,"F","Fusie","J","H"
"02OM00","D","VST","WEC","17GW09","D","VST","WEC",1-8-2015,"F","Fusie","J","H"
"02OM01","D","VST","WEC","17GW10","D","VST","WEC",1-8-2015,"F","Fusie","J","H"
"02QS","U","VOS","WVO","14UM","U","VOS","WVO",1-8-1998,"F","Fusie","N","H"
"02QS00","D","VST","WVO","14UM02","D","VST","WVO",1-8-1998,"F","Fusie","N","H"
"02QY","U","SPEC","WEC","17GW","U","SPEC","WEC",1-8-2015,"F","Fusie","J","H"
