NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,latitude,longitude
31FV,U,VOS,IBBO Barnsteen,Horalaan 5.0 ,6717LX,EDE,Gelderland,Closed,Regular Secondary School,4.2,2010s,2020s,2017-01-09 to 2021-04-01,2017-01-09,2021-04-01,52.020383,5.687691999999999
31FV,U,VOS,IBBO Barnsteen,Horalaan 3.0 A,6717LX,EDE,Gelderland,Closed,Regular Secondary School,4.2,2010s,2020s,2017-01-09 to 2021-04-01,2017-01-09,2021-04-01,52.0201476,5.6866321
31FL,U,VOS,LOS Deurne,Haageind 29.0 ,5751BB,DEURNE,Noord-Brabant,Active,Regular Secondary School,8.1,2010s,,2016-12-22 to Present,2016-12-22,,51.4685488,5.8010078
31FB,U,VOS,Vivere Democratisch Onderwijs,Groene tuin 1.0 ,3078KA,ROTTERDAM,Zuid-Holland,Active,Regular Secondary School,8.2,2010s,,2016-11-01 to Present,2016-11-01,,51.8914425,4.5460919
02IB09,D,VSTZ,DaCapocollege Rijksweg Zuid voor Mavo Vbo Lwoo,Valkstraat 4.0 ,6135GC,SITTARD,Limburg,Closed,Secondary Branch Location,3.0,2010s,2010s,2016-08-01 to 2019-08-01,2016-08-01,2019-08-01,51.0031426,5.853179700000001
31BL,U,VOS,De Amsterdamse Mavo & Havo,Linnaeushof 48.0 ,1098KM,AMSTERDAM,Noord-Holland,Active,Regular Secondary School,8.5,2010s,,2016-08-01 to Present,2016-08-01,,52.3519301,4.935550099999999
31CG,U,VOS,MelanchtonChristelijke Scholengemeenschap voor gymnasium atheneum havo en vmbo,Hoekeindseweg 7.0 A,2665KA,BLEISWIJK,Zuid-Holland,Active,Regular Secondary School,8.5,2010s,,2016-08-01 to Present,2016-08-01,,52.0079335,4.5263902
31CH,U,VOS,PENTA College Chr. SGM voor gymnasium atheneum havo mavo vmbo lwoo,Fazantenlaan 2.0 ,3222AM,HELLEVOETSLUIS,Zuid-Holland,Active,Regular Secondary School,8.5,2010s,,2016-08-01 to Present,2016-08-01,,51.8341949,4.1190336
31CZ,U,VOS,"Ida Gerhardt Academie voor mavo, havo en vwo",Kuipershof 4.0 ,4191KH,GELDERMALSEN,Gelderland,Active,Regular Secondary School,8.5,2010s,,2016-08-01 to Present,2016-08-01,,51.88106879999999,5.2823286
31CZ,U,VOS,"SvPO Geldermalsen - Ida Gerhardt Academie voor mavo, havo en vwo",De Terp 1.0 ,4191LG,GELDERMALSEN,Gelderland,Active,Regular Secondary School,8.5,2010s,,2016-08-01 to Present,2016-08-01,,52.3783039,4.8545416
31CZ,U,VOS,"SvPO Geldermalsen - Ida Gerhardt Academie voor havo, atheneum en gymnasium",Ossengang 45.0 ,4191LR,GELDERMALSEN,Gelderland,Active,Regular Secondary School,8.5,2010s,,2016-08-01 to Present,2016-08-01,,51.884499,5.2722813
31EE,U,VOS,De Ceder,Mauritslaan 55.0 ,2741CE,WADDINXVEEN,Zuid-Holland,Active,Regular Secondary School,8.5,2010s,,2016-08-01 to Present,2016-08-01,,52.0499532,4.656150999999999
31EE,U,VOS,De Ceder,Kievitstraat 2.0 ,2771TE,BOSKOOP,Zuid-Holland,Active,Regular Secondary School,8.5,2010s,,2016-08-01 to Present,2016-08-01,,52.0660099,4.6433943
