NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,postcode_cleaned,house_number,latitude,longitude,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,CODE_STAND_RECORD
01GL,U,VOS,Rk Sgm Sophianum Voor Ath Havo Mavo Vbo Ivbo,Landsraderweg 3.0 ,6271nt,3,50.81061680000001,5.8911905,6271NT,GULPEN,Limburg,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
27VG,U,VOS,Porta Mosana College,Oude Molenweg 130.0 ,6228xw,130,50.8342398,5.7330005,6228XW,MAASTRICHT,Limburg,Active,Regular Secondary School,20.5,2000s,,2004-08-01 to Present,2004-08-01,,H
30RW,U,VOS,5en5is11,Veldstraat 20.0 ,6227sz,20,50.8357312,5.729539099999999,6227SZ,MAASTRICHT,Limburg,Active,Regular Secondary School,12.5,2010s,,2012-08-01 to Present,2012-08-01,,H
14TZ,U,VOS,Lagere Technische School Sint Joseph,Pater Kustersweg 6.0 ,6267nl,6,50.8379663,5.745318,6267NL,CADIER EN KEER,Limburg,Closed,Regular Secondary School,104.6,1900s,2000s,1900-01-01 to 2004-08-01,1900-01-01,2004-08-01,H
30RW,U,VOS,Nova Vita (voorheen5en5is11),Oude Kerkstraat 10.0 a,6227sr,10,50.8400482,5.7267719,6227SR,MAASTRICHT,Limburg,Active,Regular Secondary School,12.5,2010s,,2012-08-01 to Present,2012-08-01,,H
31XJ,U,VOS,IBBO Eldariet,Aureliushof 160.0 a,6215sw,160,50.8408121,5.6492198,6215SW,MAASTRICHT,Limburg,Active,Regular Secondary School,2.9,2020s,,2022-02-07 to Present,2022-02-07,,A
27ZJ,U,VOS,Bonnefantencollege,Tongerseweg 135.0 ,6213gb,135,50.84186709999999,5.6711652,6213GB,MAASTRICHT,Limburg,Active,Regular Secondary School,19.5,2000s,,2005-08-01 to Present,2005-08-01,,H
11EE,U,VOS,Euro College,Nijverheidsweg 25.0 ,6227al,25,50.8419064,5.720971,6227AL,MAASTRICHT,Limburg,Closed,Regular Secondary School,25.6,1970s,2000s,1979-01-01 to 2004-08-01,1979-01-01,2004-08-01,H
20IS06,D,VSTZ,Stella Maris College voor Lyc Havo Mavo Vbo Lwoo,Anjelierenstraat 40.0 ,6214sw,40,50.8441635,5.672865,6214SW,MAASTRICHT,Limburg,Closed,Secondary Branch Location,19.0,2000s,2020s,2002-08-01 to 2021-08-01,2002-08-01,2021-08-01,H
25KY,U,VOS,Vbo Mavo Maastricht Rk Sgm V Mavo Vbo Ivbo,Juliana van Stolberglaan 51.0 ,6224jw,51,50.8454601,5.7170222,6224JW,MAASTRICHT,Limburg,Closed,Regular Secondary School,9.0,1990s,2000s,1996-08-01 to 2005-08-01,1996-08-01,2005-08-01,H
25KY,U,VOS,Vbo Mavo Maastricht Rk Sgm V Mavo Vbo Ivbo,Adelbert van Scharnlaan 200.0 ,6224jx,200,50.8457936,5.717887,6224JX,MAASTRICHT,Limburg,Closed,Regular Secondary School,9.0,1990s,2000s,1996-08-01 to 2005-08-01,1996-08-01,2005-08-01,H
20IS06,D,VSTZ,Stella Maris College voor Lyc Havo Mavo Vbo Lwoo,Hunnenweg 4.0 ,6224jp,4,50.8477468,5.7132244,6224JP,MAASTRICHT,Limburg,Closed,Secondary Branch Location,19.0,2000s,2020s,2002-08-01 to 2021-08-01,2002-08-01,2021-08-01,H
27ZH,U,VOS,Sint-Maartenscollege,Bemelerweg 1.0 ,6226ne,1,50.8479703,5.728991100000001,6226NE,MAASTRICHT,Limburg,Active,Regular Secondary School,19.5,2000s,,2005-08-01 to Present,2005-08-01,,H
32EA,U,VOS,Montessori College Maastricht voor Atheneum en Gymnasium,Wilhelminasingel 80.0 ,6221bl,80,50.8489778,5.7019741,6221BL,MAASTRICHT,Limburg,Active,Regular Secondary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,,A
27ZJ,U,VOS,Bonnefantencollege,Eenhoornsingel 100.0 ,6216cw,100,50.8489843,5.663141299999999,6216CW,MAASTRICHT,Limburg,Active,Regular Secondary School,19.5,2000s,,2005-08-01 to Present,2005-08-01,,H
26HL,U,PROS,School voor Speciaal Voortgezet Onderwijs St Servatius,Grubbe 5.0 ,6226nj,5,50.8493295,5.7298844,6226NJ,MAASTRICHT,Limburg,Active,Practical Education,26.5,1990s,,1998-08-01 to Present,1998-08-01,,H
20HB,U,VOS,Scholengemeenschap voor Lyceum Havo Mavo Sint Maartenscollege,Noormannensingel 50.0 ,6224bw,50,50.8506989,5.7079613,6224BW,MAASTRICHT,Limburg,Closed,Regular Secondary School,32.0,1970s,2000s,1973-08-01 to 2005-08-01,1973-08-01,2005-08-01,H
31XJ,U,VOS,IBBO Eldariet,Dokter van Kleefstraat 27.0 ,6217jj,27,50.85114129999999,5.6703126,6217JJ,MAASTRICHT,Limburg,Active,Regular Secondary School,2.9,2020s,,2022-02-07 to Present,2022-02-07,,H
26HL,U,PROS,School voor Speciaal Voortgezet Onderwijs Terra Nigra,Terra nigrastraat 5.0 ,6216bk,5,50.8513459,5.661688499999999,6216BK,MAASTRICHT,Limburg,Active,Practical Education,26.5,1990s,,1998-08-01 to Present,1998-08-01,,H
26HL01,D,VSTZ,School voor Speciaal Voortgezet Onderwijs St Servatius,Frans van de Laarplein 3.0 ,6217nh,3,50.8558945,5.6736602,6217NH,MAASTRICHT,Limburg,Closed,Secondary Branch Location,5.0,1990s,2000s,1999-08-01 to 2004-08-01,1999-08-01,2004-08-01,H
23WP,U,VOS,Scholengemeenschap Atheneum Havo VMBO lokatie Kerkrade-West,Spekhofstraat 15.0 ,6466lz,15,50.8589688,6.0181723,6466LZ,KERKRADE,Limburg,Closed,Regular Secondary School,19.0,1990s,2000s,1990-08-01 to 2009-08-01,1990-08-01,2009-08-01,H
23WP,U,VOS,Scholengemeenschap Atheneum Havo VMBO lokatie Kerkrade-West,Elbereveldstraat 105.0 ,6466jm,105,50.85953000000001,6.0185523,6466JM,KERKRADE,Limburg,Closed,Regular Secondary School,19.0,1990s,2000s,1990-08-01 to 2009-08-01,1990-08-01,2009-08-01,H
23WP,U,VOS,Lambertus Coll Rk Sgm V Mavo Vbo,Pastoor Theelenstraat 20.0 ,6466jh,20,50.8602409,6.0225067,6466JH,KERKRADE,Limburg,Closed,Regular Secondary School,19.0,1990s,2000s,1990-08-01 to 2009-08-01,1990-08-01,2009-08-01,H
23WC,U,VOS,Hickory College,Old Hickoryplein 1.0 ,6461ez,1,50.8615754,6.0667917,6461EZ,KERKRADE,Limburg,Closed,Regular Secondary School,9.0,1990s,1990s,1990-08-01 to 1999-08-01,1990-08-01,1999-08-01,H
30UJ,U,VOS,IBBO,Marktstraat 27.0 ,6461ct,27,50.8643708,6.063749,6461CT,KERKRADE,Limburg,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,H
32DA,U,VOS,Het Martin Buber,Marktstraat 6.0 ,6461cx,6,50.8648242,6.0629405,6461CX,KERKRADE,Limburg,Active,Regular Secondary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,,A
16TZ,U,VOS,College Rolduc,Richerstraat 35.0 ,6461vp,35,50.8655614,6.0765096,6461VP,KERKRADE,Limburg,Closed,Regular Secondary School,40.0,1960s,2000s,1968-08-01 to 2008-08-01,1968-08-01,2008-08-01,H
16TZ,U,VOS,Sgs V Ath Havo En Mavo St Ant Doctor College,Mgr.van Gilsstraat 2.0 ,6461vg,2,50.8668455,6.0738672,6461VG,KERKRADE,Limburg,Closed,Regular Secondary School,40.0,1960s,2000s,1968-08-01 to 2008-08-01,1968-08-01,2008-08-01,H
00YN,U,VOS,Kath Gymnasium Rolduc,Graaf Saffenburgweg 15.0 ,6464dx,15,50.8676569,6.0826059,6464DX,KERKRADE,Limburg,Closed,Regular Secondary School,66.3,1940s,2000s,1942-04-30 to 2008-08-01,1942-04-30,2008-08-01,H
19XS,U,VOS,Sintermeertencollege Scholengemeenschap voor Lyceum Havo Mavo,Valkenburgerweg 219.0 ,6419at,219,50.8786099,5.9569132,6419AT,HEERLEN,Limburg,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
16VM04,D,VSTZ,Herle College Scholengemeenschap voor Mavo Vbo Lwoo,Bekkerveld 4.0 ,6417cl,4,50.8786839,5.983198799999999,6417CL,HEERLEN,Limburg,Active,Secondary Branch Location,22.5,2000s,,2002-08-01 to Present,2002-08-01,,H
02DF,U,VOS,Grotiuscollege Stedelijke Scholengemeenschap voor Lyceum Havo Mavo,Akerstraat 117.0 ,6417bm,117,50.8794212,5.986689999999999,6417BM,HEERLEN,Limburg,Active,Regular Secondary School,77.4,1940s,,1947-09-01 to Present,1947-09-01,,H
20IS,U,VOS,Stella Maris College voor LYC HAVO MAVO VBO,Parallelweg 56.0 ,6231cj,56,50.8813271,5.7571541,6231CJ,MEERSSEN,Limburg,Active,Regular Secondary School,50.5,1970s,,1974-08-01 to Present,1974-08-01,,H
20IS,U,VOS,Stella Maris College voor LYC HAVO MAVO VBO,Veeweg 2.0 ,6231rw,2,50.8814138,5.757937200000001,6231RW,MEERSSEN,Limburg,Active,Regular Secondary School,50.5,1970s,,1974-08-01 to Present,1974-08-01,,H
19HV,U,VOS,Ath vh Bernardinuscol,Akerstraat 97.0 ,6417bk,97,50.8816599,5.9848576,6417BK,HEERLEN,Limburg,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
19HV,U,VOS,Ath Vh Bernardinuscol,Akerstraat 95.0 ,6417bk,95,50.8821042,5.984972200000001,6417BK,HEERLEN,Limburg,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
19HV,U,VOS,VWO van het Bernardinuscollege,Sint Franciscusweg 38.0 ,6417bd,38,50.882558,5.985115,6417BD,HEERLEN,Limburg,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,A
16VM,U,VOS,Herlecollege Sgm V Mavo Vbo Ivbo,Burg. de Hesselleplein 31.0 ,6411ch,31,50.88370380000001,5.974604299999999,6411CH,HEERLEN,Limburg,Active,Regular Secondary School,63.0,1960s,,1962-01-01 to Present,1962-01-01,,H
13FB,U,PROS,Praktijkschool De Linde,Pater Beatusstraat 1.0 ,6411tr,1,50.8880722,5.9704058,6411TR,HEERLEN,Limburg,Active,Practical Education,46.5,1970s,,1978-08-01 to Present,1978-08-01,,H
10KH,U,VOS,MAVO SCH KON BEATRIX,Schaesbergerweg 58.0 ,6415aj,58,50.890684,5.9887931,6415AJ,HEERLEN,Limburg,Closed,Regular Secondary School,95.6,1900s,1990s,1900-01-01 to 1995-08-01,1900-01-01,1995-08-01,H
13FB,U,PROS,School voor Praktijkonderwijs Parkstad Limburg,Sittarderweg 75.0 ,6412cc,75,50.8942408,5.9736356,6412CC,HEERLEN,Limburg,Active,Practical Education,46.5,1970s,,1978-08-01 to Present,1978-08-01,,H
26KZ,U,PROS,Praktijkschool Coriovallum,Burettestraat 1.0 ,6415sm,1,50.89745929999999,5.9826896,6415SM,HEERLEN,Limburg,Active,Practical Education,26.5,1990s,,1998-08-01 to Present,1998-08-01,,H
17JB,U,VOS,Eykhagencollege Scholengemeenschap voor Ath Havo En Mavo,Eijkhagenlaan 31.0 ,6371xa,31,50.8990528,6.026964100000001,6371XA,LANDGRAAF,Limburg,Active,Regular Secondary School,65.0,1960s,,1960-01-01 to Present,1960-01-01,,H
17JB,U,VOS,"Charlemagne College voor VWO (ath.-gymn.), havo, vmbo, vmbo-t, lwoo",Dormansberg 19.0 ,6371xe,19,50.89912959999999,6.0259844,6371XE,LANDGRAAF,Limburg,Active,Regular Secondary School,65.0,1960s,,1960-01-01 to Present,1960-01-01,,A
16VM,U,VOS,Herlecollege Sgm V Mavo Vbo Ivbo,Heldevierlaan 5.0 ,6415sb,5,50.8996819,5.9781802,6415SB,HEERLEN,Limburg,Active,Regular Secondary School,63.0,1960s,,1962-01-01 to Present,1962-01-01,,H
00IE,U,VOS,Brandenberg College MAVO VBO LWOO,Graafstraat 10.0 ,6371xs,10,50.90235850000001,6.024568599999999,6371XS,LANDGRAAF,Limburg,Closed,Regular Secondary School,105.6,1900s,2000s,1900-01-01 to 2005-08-01,1900-01-01,2005-08-01,H
00HE,U,VOS,Aldenhof College Scholengemeenschap voor MAVO LTO ITO en LHNO,Mgr. Nolensstraat 58.0 ,6431jp,58,50.9253182,5.934317,6431JP,HOENSBROEK,Limburg,Closed,Regular Secondary School,12.0,1980s,1990s,1986-08-01 to 1998-08-01,1986-08-01,1998-08-01,H
05FJ,U,VOS,Sgm Broeklandcollege V Havo Mavo Vbo,Passartweg 150.0 ,6413nz,150,50.9266728,5.9565008,6413NZ,HEERLEN,Limburg,Active,Regular Secondary School,48.5,1970s,,1976-08-01 to Present,1976-08-01,,H
05FJ,U,VOS,Emmacollege Havo-Vmbo,De Weggebekker 1.0 ,6413nr,1,50.9277064,5.954241,6413NR,HEERLEN,Limburg,Active,Regular Secondary School,48.5,1970s,,1976-08-01 to Present,1976-08-01,,H
16SL,U,VOS,St Janscollege Scholengemeenschap voor Lyc Havo En Mavo,Amstenraderweg 122.0 ,6431en,122,50.9332697,5.9289404,6431EN,HOENSBROEK,Limburg,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
16SL,U,VOS,St Janscollege Scholengemeenschap voor Lyc Havo En Mavo,Patersweg 40.0 ,6431gc,40,50.93370669999999,5.9287865,6431GC,HOENSBROEK,Limburg,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
31XZ,U,VOS,AFNORTH International School,Ferdinand Bolstraat 1.0 ,6445ee,1,50.9349165,5.9808584,6445EE,BRUNSSUM,Limburg,Active,Regular Secondary School,13.5,2010s,,2011-08-01 to Present,2011-08-01,,H
05FJ,U,VOS,Emmacollege voor Mavo Kbl en BBL,Schoolstraat 16.0 ,6443bt,16,50.9386748,5.9707744,6443BT,BRUNSSUM,Limburg,Active,Regular Secondary School,48.5,1970s,,1976-08-01 to Present,1976-08-01,,H
18DO,U,VOS,Scholengemeenschap voor Ath Havo en Mavo Romboutscollege,Prins Hendriklaan 376.0 ,6443ae,376,50.9416555,5.978274,6443AE,BRUNSSUM,Limburg,Active,Regular Secondary School,56.5,1960s,,1968-08-01 to Present,1968-08-01,,H
05FJ04,D,VSTZ,Emmacollege Scholengemeenschap voor Havo Mavo Vbo Lwoo,De Insel 21.0 ,6442aj,21,50.949851,5.9815065,6442AJ,BRUNSSUM,Limburg,Closed,Secondary Branch Location,3.0,2000s,2000s,2000-08-01 to 2003-08-01,2000-08-01,2003-08-01,H
02IB03,D,VSTZ,DaCapo College Locatie Rijksweg Zuid voor Mavo Vbo Lwoo,Wagenaarstraat 157.0 ,6164xr,157,50.9563363,5.8249928,6164XR,GELEEN,Limburg,Closed,Secondary Branch Location,15.0,2000s,2010s,2002-08-01 to 2017-08-01,2002-08-01,2017-08-01,H
19PV,U,VOS,Sgm St Michiel Gym Ath Havo Mavo,Jos Klijnenlaan 683.0 ,6164ap,683,50.9571525,5.8215409,6164AP,GELEEN,Limburg,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
20KA,U,VOS,Groenewald Proosdyveld Sgm V Ath Havo Mavo Vbo,Kinskystraat 15.0 ,6171lx,15,50.9603304,5.777667999999999,6171LX,STEIN,Limburg,Active,Regular Secondary School,52.0,1970s,,1973-01-01 to Present,1973-01-01,,H
19XR,U,VOS,Albert Schweitzer Scholengemeenschap voor Ath Havo En Mavo,Eloystraat 1.0 A,6166xm,1,50.9716994,5.8356774,6166XM,GELEEN,Limburg,Closed,Regular Secondary School,98.6,1900s,1990s,1900-01-01 to 1998-08-01,1900-01-01,1998-08-01,H
17XR,U,VOS,Scholengemeenschap Don Bosco Mavo Leao Lhno Ihno Lto Ito,Dr. Nolenslaan 9.0 ,6162ev,9,50.9729638,5.8313596,6162EV,GELEEN,Limburg,Closed,Regular Secondary School,12.0,1980s,1990s,1986-08-01 to 1998-08-01,1986-08-01,1998-08-01,H
02ZS,U,VOS,Mavo St Anna,Geenstraat 32.0 A,6162xz,32,50.9761605,5.8286823,6162XZ,GELEEN,Limburg,Closed,Regular Secondary School,98.6,1900s,1990s,1900-01-01 to 1998-08-01,1900-01-01,1998-08-01,H
05GV,U,PROS,Guus Klinkersschool voor Voortgezet Speciaal Onderwijs,Einighauserweg 25.0 ,6163ak,25,50.9850348,5.8254157,6163AK,GELEEN,Limburg,Active,Practical Education,46.7,1970s,,1978-05-01 to Present,1978-05-01,,H
02MY,U,VOS,DaCapo College Milaanstraat,Milaanstraat 125.0 ,6135lh,125,50.99104639999999,5.8430955,6135LH,SITTARD,Limburg,Closed,Regular Secondary School,117.6,1900s,2010s,1900-01-01 to 2017-08-01,1900-01-01,2017-08-01,H
02IB,U,VOS,Techn Sch Past Jacobs,Rijksweg Zuid 70.0 ,6134ad,70,50.9953379,5.8595996,6134AD,SITTARD,Limburg,Active,Regular Secondary School,106.1,1910s,,1918-12-01 to Present,1918-12-01,,H
01UF,U,VOS,Mavo Land van Gulick,Engelenkampstraat 25.0 ,6131jd,25,50.9954036,5.870522999999999,6131JD,SITTARD,Limburg,Closed,Regular Secondary School,98.6,1900s,1990s,1900-01-01 to 1998-08-01,1900-01-01,1998-08-01,H
00WX,U,VOS,Rooms Katholieke Mavo School Mr Nic Beckers,President Kennedysingel 20.0 ,6137ac,20,50.9963553,5.8757451,6137AC,SITTARD,Limburg,Closed,Regular Secondary School,79.9,1910s,1990s,1918-09-01 to 1998-08-01,1918-09-01,1998-08-01,H
02MY,U,VOS,Vbo St Catharina,Broeksittarderweg 45.0 ,6137bh,45,50.9995024,5.8804875,6137BH,SITTARD,Limburg,Closed,Regular Secondary School,117.6,1900s,2010s,1900-01-01 to 2017-08-01,1900-01-01,2017-08-01,H
17GA,U,VOS,Serviam Rooms Katholieke Scholengemeenschap Lyc Havo,Ursulinentuin 1.0 ,6131gj,1,50.9997196,5.8705231,6131GJ,SITTARD,Limburg,Closed,Regular Secondary School,98.6,1900s,1990s,1900-01-01 to 1998-08-01,1900-01-01,1998-08-01,H
02IB09,D,VSTZ,DaCapocollege Rijksweg Zuid voor Mavo Vbo Lwoo,Valkstraat 4.0 ,6135gc,4,51.0031426,5.853179700000001,6135GC,SITTARD,Limburg,Closed,Secondary Branch Location,3.0,2010s,2010s,2016-08-01 to 2019-08-01,2016-08-01,2019-08-01,H
26JN,U,PROS,School voor Speciaal Voortgezet Onderwijs Deken Tijssen,Parallelweg 9.0 ,6131bj,9,51.0033149,5.8615819,6131BJ,SITTARD,Limburg,Closed,Practical Education,16.0,1990s,2010s,1998-08-01 to 2014-08-01,1998-08-01,2014-08-01,H
02IB,U,VOS,DaCapo College locatie Havikstraat voor Mavo Vbo Lwoo,Havikstraat 5.0 ,6135ed,5,51.0056115,5.845947499999999,6135ED,SITTARD,Limburg,Active,Regular Secondary School,106.1,1910s,,1918-12-01 to Present,1918-12-01,,H
01MO,U,VOS,Ath Vh Coll Sittard,Bradleystraat 25.0 ,6135cv,25,51.0074354,5.8478954,6135CV,SITTARD,Limburg,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
18DE,U,VOS,Mavo St Jacobus V Born E O,Graaf van Loonstraat 39.0 ,6121js,39,51.0340748,5.8047841,6121JS,BORN,Limburg,Closed,Regular Secondary School,119.6,1900s,2010s,1900-01-01 to 2019-08-01,1900-01-01,2019-08-01,H
17YB,U,VOS,Onderwyssgm Gelre Gulick School V Bavo En Vbo,Kerkveldsweg West 25.0 B,6101hp,25,51.1040047,5.8770063,6101HP,ECHT,Limburg,Closed,Regular Secondary School,15.0,1980s,2000s,1985-08-01 to 2000-08-01,1985-08-01,2000-08-01,H
16PE,U,VOS,Bisschoppelijk College Echt,Populierlaan 1.0 ,6101ba,1,51.1125751,5.870843799999999,6101BA,ECHT,Limburg,Active,Regular Secondary School,54.5,1970s,,1970-08-01 to Present,1970-08-01,,H
31WX,U,VOS,IBBO Harlekijnkwarts,Kerkplein 1.0 ,6075ha,1,51.153665,6.0631284,6075HA,HERKENBOSCH,Limburg,Closed,Regular Secondary School,1.0,2020s,2020s,2021-09-06 to 2022-09-01,2021-09-06,2022-09-01,H
21CS,U,AOCV,CITAVERDE College,Louis Eijssenweg 5.0 ,6049cd,5,51.1671017,5.9603167,6049CD,HERTEN,Limburg,Closed,Agricultural Education,97.8,1920s,2020s,1923-10-28 to 2021-08-01,1923-10-28,2021-08-01,H
23HH,U,PROS,School voor Praktijkonderwijs Petrus Donders,Heinsbergerweg 192.0 ,6045cl,192,51.1681973,6.0040227,6045CL,ROERMOND,Limburg,Active,Practical Education,35.5,1980s,,1989-08-01 to Present,1989-08-01,,H
03XF,U,VOS,Bissch Coll Schondeln RK SGM v LYC HAVO MAVO LWOO,Heinsbergerweg 184.0 ,6045ck,184,51.1705168,6.000960699999999,6045CK,ROERMOND,Limburg,Active,Regular Secondary School,47.5,1970s,,1977-08-01 to Present,1977-08-01,,H
17KA,U,VOS,RK SGM DR CUYPERS,Sint Odgerusstraat 1.0 ,6045et,1,51.173799,6.004387100000001,6045ET,ROERMOND,Limburg,Closed,Regular Secondary School,13.0,1980s,1990s,1984-08-01 to 1997-08-01,1984-08-01,1997-08-01,H
16BK,U,VOS,Stedelyke Sgm V Ath Havo Mavo Roermond,Jagerstraat 2.0 ,6042ka,2,51.194178,6.0160493,6042KA,ROERMOND,Limburg,Closed,Regular Secondary School,111.6,1900s,2010s,1900-01-01 to 2011-08-01,1900-01-01,2011-08-01,H
21CS,U,AOCV,Agrarisch Opleidingen Centrum Limburg,Wilhelminasingel 25.0 ,6041ch,25,51.1981046,5.990821899999999,6041CH,ROERMOND,Limburg,Closed,Agricultural Education,97.8,1920s,2020s,1923-10-28 to 2021-08-01,1923-10-28,2021-08-01,H
14PS,U,VOS,Bisschop College Broekhin voor Lyceum Havo Mavo Vbo,Bob Boumanstraat 30.0 ,6042eh,30,51.20768280000001,6.011983799999999,6042EH,ROERMOND,Limburg,Active,Regular Secondary School,56.5,1960s,,1968-08-01 to Present,1968-08-01,,H
17GT,U,VOS,Rk Sgm St Ursula Voor Lyc Havo Mavo Vbo Ivbo,Bergerweg 21.0 ,6085as,21,51.2077028,5.930337499999999,6085AS,HORN,Limburg,Active,Regular Secondary School,56.5,1960s,,1968-08-01 to Present,1968-08-01,,H
14PS02,D,VSTZ,Bisschop College Broekhin voor Lyceum Havo Mavo Vbo,Peelveldlaan 60.0 ,6071tv,60,51.23892000000001,6.050988,6071TV,SWALMEN,Limburg,Closed,Secondary Branch Location,51.0,1960s,2010s,1968-08-01 to 2019-08-01,1968-08-01,2019-08-01,H
02ZR,U,VOS,Het College voor Lyc Havo Mavo Vbo lwoo,Parklaan 1.0 A,6006nt,1,51.24172979999999,5.693857899999999,6006NT,WEERT,Limburg,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
02ZR,U,VOS,Bisschoppelyk Coll Sgm V Lyc Havo Mavo Vbo,Nelissenhofweg 1.0 ,6006ns,1,51.2430046,5.684094399999999,6006NS,WEERT,Limburg,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
26JC,U,PROS,School voor Praktijkonderwijs,Julianalaan 100.0 ,6006ap,100,51.2462665,5.710054899999999,6006AP,WEERT,Limburg,Closed,Practical Education,4.0,1990s,2000s,1998-08-01 to 2002-08-01,1998-08-01,2002-08-01,H
02IX,U,VOS,Rooms Katholiek Technische School,Thornstraat 7.0 ,6004jp,7,51.2506998,5.7269187,6004JP,WEERT,Limburg,Closed,Regular Secondary School,76.2,1920s,1990s,1922-05-22 to 1998-08-01,1922-05-22,1998-08-01,H
26JC,U,PROS,School voor Speciaal Voortgezet Onderwijs Deken Souren,Graafschap Hornelaan 15.0 ,6001aa,15,51.2517349,5.7143674,6001AA,WEERT,Limburg,Closed,Practical Education,4.0,1990s,2000s,1998-08-01 to 2002-08-01,1998-08-01,2002-08-01,H
18DD,U,VOS,Philips V Horne Sch Gem V Lyc Havo Mavo Vbo Ivbo,Wertastraat 1.0 ,6004xg,1,51.256047,5.7179766,6004XG,WEERT,Limburg,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
18DD,U,VOS,Scholengemeenschap Philips van Horne voor LYC HAVO MAVO VBO LWOO,Herenstraat 298.0 ,6004xl,298,51.256412,5.7167173,6004XL,WEERT,Limburg,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,A
02ZR02,D,VSTS,Bisschoppelyk Coll Sgm V Lyc Havo Mavo Vbo,Jan van Schoonvorststr 1.0 ,6021bp,1,51.2719822,5.5777752,6021BP,BUDEL,Noord-Brabant,Active,Secondary Technical School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
26JV,U,PROS,Praktijkschool Hulst,Koolstraat 17.0 ,4561gw,17,51.2831287,4.060126299999999,4561GW,HULST,Zeeland,Active,Practical Education,26.5,1990s,,1998-08-01 to Present,1998-08-01,,H
26JV,U,PROS,Praktijkschool Hulst,Frederik Hendriklaan 16.0 ,4561we,16,51.2837228,4.0609835,4561WE,HULST,Zeeland,Active,Practical Education,26.5,1990s,,1998-08-01 to Present,1998-08-01,,H
00PI,U,VOS,St Willibrordus Mavo,Past van der Steenstraat 5.0 ,6031eb,5,51.284546,5.752647899999999,6031EB,NEDERWEERT,Limburg,Closed,Regular Secondary School,99.6,1900s,1990s,1900-01-01 to 1999-08-01,1900-01-01,1999-08-01,H
25FX,U,VOS,Rk Sgm Voor Lyc Havo Mavo Vbo Reynaertcollege,Tivoliweg 41.0 ,4561hk,41,51.2858352,4.047865300000001,4561HK,HULST,Zeeland,Active,Regular Secondary School,29.5,1990s,,1995-08-01 to Present,1995-08-01,,H
25FX,U,VOS,Rooms Katholieke Scholengemeenschap Reynaert College Lyceum Havo Mavo Vbo Lwoo,Zoutestraat 61.0 A,4561xa,61,51.288455,4.0580299,4561XA,HULST,Zeeland,Active,Regular Secondary School,29.5,1990s,,1995-08-01 to Present,1995-08-01,,H
31JW,U,VOS,NNB,Zeldenrustlaan 2.0 ,4535gz,2,51.3113326,3.8583943,4535GZ,TERNEUZEN,Zeeland,Active,Regular Secondary School,6.5,2010s,,2018-08-01 to Present,2018-08-01,,H
20LL,U,VOS,Bouwens Vd Boye College Ath Havo Mavo Vbo Ivbo,Min. Calsstraat 10.0 ,5981vt,10,51.3204393,5.979569,5981VT,PANNINGEN,Limburg,Active,Regular Secondary School,50.5,1970s,,1974-08-01 to Present,1974-08-01,,H
16JO,U,VOS,Stedelijke Scholengemeenschap De Rede voor Lyc Havo Mavo Vbo Lwoo,Oude Vaart 1.0 ,4537cd,1,51.32271160000001,3.8384394,4537CD,TERNEUZEN,Zeeland,Closed,Regular Secondary School,118.6,1900s,2010s,1900-01-01 to 2018-08-01,1900-01-01,2018-08-01,H
26LL,U,PROS,PC/RK School voor Praktijkonderwijs De Sprong,Evertsenlaan 84.0 A,4535ad,84,51.3229954,3.8511659,4535AD,TERNEUZEN,Zeeland,Active,Practical Education,26.5,1990s,,1998-08-01 to Present,1998-08-01,,H
31TG,U,VOS,"Openbaar Buurtcollege Maas en Peel voor mavo, havo en vwo",Piushof 87.0 ,5981vw,87,51.323263,5.9780226,5981VW,PANNINGEN,Limburg,Active,Regular Secondary School,3.5,2020s,,2021-08-01 to Present,2021-08-01,,H
