NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,postcode_cleaned,house_number,latitude,longitude,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,CODE_STAND_RECORD
14SZ,U,VOS,Newmancollege Rooms Katholieke Scholengemeenschap voor Vwo Havo Mavo,Verviersstraat 4.0 ,4826ht,4,51.6025229,4.7864898,4826HT,BREDA,Noord-Brabant,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
19XV,U,VOS,Van Cooth Sgm Gem Sch Voor Ber Ond,Biesdonkweg 33.0 ,4826ks,33,51.6028666,4.7847795,4826KS,BREDA,Noord-Brabant,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
32DM,U,VOS,Libertà College,Aardrijk 47.0 ,4824bs,47,51.6030868,4.745591999999999,4824BS,BREDA,Noord-Brabant,Active,Regular Secondary School,1.4,2020s,,2023-09-01 to Present,2023-09-01,,H
28DB,U,VOS,Orion Lyceum voor vwo en havo,Waterloostraat 27.0 ,4826lw,27,51.6064642,4.779768499999999,4826LW,BREDA,Noord-Brabant,Closed,Regular Secondary School,10.0,2000s,2010s,2006-08-01 to 2016-08-01,2006-08-01,2016-08-01,H
16SW04,D,VSTS,Rk Sgm Stevensbeek Voor Ath Havo Mavo Vbo Ivbo,Van Bergenstraat 1.0 ,5854bn,1,51.60713140000001,6.0516726,5854BN,BERGEN LB,Limburg,Closed,Secondary Technical School,102.6,1900s,2000s,1900-01-01 to 2002-08-01,1900-01-01,2002-08-01,H
16SW,U,VOS,Rk Sgm Stevensbeek Voor Ath Havo Mavo Vbo Ivbo,Stevensbeekseweg 8.0 A,5844ab,8,51.6081104,5.9125973,5844AB,STEVENSBEEK,Noord-Brabant,Closed,Regular Secondary School,123.6,1900s,2020s,1900-01-01 to 2023-08-01,1900-01-01,2023-08-01,H
03NK,U,PROS,School voor Praktijk onderwijs Het Middegaal,Witte de Withstraat 24.0 A,5463et,24,51.6099798,5.5546414,5463ET,VEGHEL,Noord-Brabant,Closed,Practical Education,21.6,1980s,2000s,1982-01-01 to 2003-08-01,1982-01-01,2003-08-01,H
04GU,U,VOS,Elde College Schyndel V Ath Havo Mavo Vbo Ivbo,Putsteeg 4.0 ,5481xt,4,51.6151411,5.426696,5481XT,SCHIJNDEL,Noord-Brabant,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
31TK,U,VOS,Graaf Engelbrecht voor havo en vwo,Ganzerik 3.0 ,4822rk,3,51.61647139999999,4.7311564,4822RK,BREDA,Noord-Brabant,Active,Regular Secondary School,2.5,2020s,,2022-08-01 to Present,2022-08-01,,H
04GU06,D,VSTZ,Elde College Schijndel voor Atheneum Havo Mavo Vbo Lwoo,Putsteeg 2.0 A,5481xt,2,51.6164749,5.4286371,5481XT,SCHIJNDEL,Noord-Brabant,Active,Secondary Branch Location,22.5,2000s,,2002-08-01 to Present,2002-08-01,,H
