NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,education_sector,institution_type,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,is_active,CODE_STAND_RECORD,location_type,function_type,education_type,temporal_status,years_of_operation
01VU,U,HBOS,higher,main,Christelijke Hogeschool Windesheim,Campus 2.0 -4,8017CA,ZWOLLE,Overijssel,1986-08-01,,True,H,HBOS,U,University of Applied Sciences,Active,38.5
01VU,U,HBOS,higher,main,Christelijke Hogeschool Windesheim,Campus 2.0 -6,8017CA,ZWOLLE,Overijssel,1986-08-01,,True,A,HBOS,U,University of Applied Sciences,Active,38.5
01VU00,D,LOC,higher,locations,Chr Hogesch Windesheim,Campus 2.0 -4,8017CA,ZWOLLE,Overijssel,1986-08-01,,True,H,LOC,D,Higher Education Location,Active,38.5
01VU00,D,LOC,higher,locations,Chr Hogesch Windesheim,Campus 2.0 -6,8017CA,ZWOLLE,Overijssel,1986-08-01,,True,H,LOC,D,Higher Education Location,Active,38.5
01VU00,D,LOC,higher,locations,Christelijke Hogeschool Windesheim,Campus 2.0 -6,8017CA,ZWOLLE,Overijssel,1986-08-01,,True,H,LOC,D,Higher Education Location,Active,38.5
01VU00,D,LOC,higher,locations,Christelijke Hogeschool Windesheim,Campus 2.0 -6,8017CA,ZWOLLE,Overijssel,1986-08-01,,True,A,LOC,D,Higher Education Location,Active,38.5
01WX01,D,ILOC,higher,international,De Alk-afd. VSO,Vd Duyn van Maasdamstr 2.0 ,1814RV,ALKMAAR,Noord-Holland,1981-08-17,2011-01-01,False,H,ILOC,D,International Location,Historical,29.4
01WX01,D,ILOC,higher,international,De Alk,Vd Duyn van Maasdamstr 2.0 ,1814RV,ALKMAAR,Noord-Holland,1981-08-17,2011-01-01,False,H,ILOC,D,International Location,Historical,29.4
01WX02,D,ILOC,higher,international,"De Alk, afd. VSO",Van Harenlaan 21.0 ,1813KE,ALKMAAR,Noord-Holland,1981-08-17,2011-01-01,False,H,ILOC,D,International Location,Historical,29.4
01WX02,D,ILOC,higher,international,"De Alk, afd. VSO",Elgerweg 101.0 ,1825KB,ALKMAAR,Noord-Holland,1981-08-17,2011-01-01,False,H,ILOC,D,International Location,Historical,29.4
01WX02,D,ILOC,higher,international,De Alk,Elgerweg 101.0 ,1825KB,ALKMAAR,Noord-Holland,1981-08-17,2011-01-01,False,H,ILOC,D,International Location,Historical,29.4
01XA01,D,ILOC,higher,international,"SBO De Werf, locatie Het Baken",James Cookstraat 10.0 ,3814XD,AMERSFOORT,Utrecht,1986-08-01,2009-01-01,False,H,ILOC,D,International Location,Historical,22.4
01XF03,D,ILOC,higher,international,Willem Blaeu Locatie Bergerweg,Bergerweg 1.0 ,1815AC,ALKMAAR,Noord-Holland,1900-01-01,2008-04-18,False,H,ILOC,D,International Location,Historical,108.3
01XN04,D,ILOC,higher,international,Almere College AZC school voor PO en VO,Vossemeerdijk 40.0 ,8251PN,DRONTEN,Flevoland,1900-01-01,2015-08-01,False,H,ILOC,D,International Location,Historical,115.6
01XN05,D,ILOC,higher,international,Praktijkonderwijs Dronten,Educalaan 8.0 a,8251GC,DRONTEN,Flevoland,1900-01-01,2013-08-01,False,H,ILOC,D,International Location,Historical,113.6
01XN06,D,ILOC,higher,international,Almere College - locatie Marinus Postlaan,Marinus Postlaan 1.0 ,8264PB,KAMPEN,Overijssel,1900-01-01,2008-08-01,False,H,ILOC,D,International Location,Historical,108.6
01YA00,D,LOC,higher,locations,LEVENSSCH BREDA,Beemd 10.0 ,4816HB,BREDA,Noord-Brabant,1956-06-14,1997-08-01,False,H,LOC,D,Higher Education Location,Historical,41.1
01YA01,D,LOC,higher,locations,Lokatie BEEMD,Beemd 10.0 ,4816HB,BREDA,Noord-Brabant,1996-08-01,1997-08-01,False,H,LOC,D,Higher Education Location,Historical,1.0
01ZV01,D,ILOC,higher,international,S.B.O. De Ruimte,Postjesweg 154.0 ,1061AX,AMSTERDAM,Noord-Holland,1945-09-01,2000-03-02,False,H,ILOC,D,International Location,Historical,54.5
02AC01,D,ILOC,higher,international,Koningin Emma-VSO,Heiligenbergerweg 185.0 ,3816AJ,AMERSFOORT,Utrecht,1900-01-01,2011-01-01,False,H,ILOC,D,International Location,Historical,111.0
02AC01,D,ILOC,higher,international,Koningin Emmaschool VSO,Heiligenbergerweg 185.0 ,3816AJ,AMERSFOORT,Utrecht,1900-01-01,2011-01-01,False,H,ILOC,D,International Location,Historical,111.0
02BY,U,HBOS,higher,main,Gerrit Rietveld Academie Dasch Beeldende Kunst Vormgeving,Fred. Roeskestraat 96.0 ,1076ED,AMSTERDAM,Noord-Holland,1924-09-01,,True,H,HBOS,U,University of Applied Sciences,Active,100.4
02BY,U,HBOS,higher,main,Gerrit Rietveld Academie Beeldende Kunst Vormgeving,Fred. Roeskestraat 96.0 ,1076ED,AMSTERDAM,Noord-Holland,1924-09-01,,True,H,HBOS,U,University of Applied Sciences,Active,100.4
02BY,U,HBOS,higher,main,Gerrit Rietveld Academie,Fred. Roeskestraat 96.0 ,1076ED,AMSTERDAM,Noord-Holland,1924-09-01,,True,A,HBOS,U,University of Applied Sciences,Active,100.4
02BY00,D,LOC,higher,locations,Gerrit Rietveld Academie Dasch Beeldende Kunst Vormgeving,Fred. Roeskestraat 96.0 ,1076ED,AMSTERDAM,Noord-Holland,1924-09-01,,True,H,LOC,D,Higher Education Location,Active,100.4
02BY00,D,LOC,higher,locations,Gerrit Rietveld Academie,Fred. Roeskestraat 96.0 ,1076ED,AMSTERDAM,Noord-Holland,1924-09-01,,True,A,LOC,D,Higher Education Location,Active,100.4
02CV01,D,ILOC,higher,international,"Het Rotsoord, locatie vso",Slotlaan 37.0 ,3523HB,UTRECHT,Utrecht,1900-01-01,2011-01-01,False,H,ILOC,D,International Location,Historical,111.0
02CY,U,HBOS,higher,main,Stichting Aki Instituut voor Hoger Beroeps Kunstonderwijs Oost Nederland,Roessinghsbleekweg 155.0 ,7522AH,ENSCHEDE,Overijssel,1949-09-15,1998-01-01,False,H,HBOS,U,University of Applied Sciences,Historical,48.3
02CY00,D,LOC,higher,locations,Stichting Aki Instituut voor Hoger Beroeps Kunstonderwijs Oost Nederland,Roessinghsbleekweg 155.0 ,7522AH,ENSCHEDE,Overijssel,1949-09-15,1998-01-01,False,H,LOC,D,Higher Education Location,Historical,48.3
02CY01,D,LOC,higher,locations,"Stg Aki,Inst V Hoger Beeldende Kunstonderwys",Roessinghsbleekweg 155.0 ,7522AH,ENSCHEDE,Overijssel,1949-09-15,1998-01-01,False,H,LOC,D,Higher Education Location,Historical,48.3
02CY02,D,LOC,higher,locations,"Stg Aki,Akademie Voor Beeldende Kunst",Borneostraat 16.0 -22,7512AK,ENSCHEDE,Overijssel,1949-09-15,1998-01-01,False,H,LOC,D,Higher Education Location,Historical,48.3
02CY03,D,LOC,higher,locations,"Stg Aki,Akademie Voor Beeldende Kunst",Twekkelerweg 124.0 ,7547RN,ENSCHEDE,Overijssel,1949-09-15,1998-01-01,False,H,LOC,D,Higher Education Location,Historical,48.3
02DC01,D,ILOC,higher,international,Corlaer College,Van Reenenpark 20.0 ,3862CC,NIJKERK,Gelderland,1909-08-12,2002-08-01,False,H,ILOC,D,International Location,Historical,93.0
02DC02,D,ILOC,higher,international,Corlaer College,Meinsstraat 6.0 ,3862AE,NIJKERK,Gelderland,1909-08-12,2002-08-01,False,H,ILOC,D,International Location,Historical,93.0
02DO06,D,ILOC,higher,international,CSG Het Noordik (Algemene Directie),Elsboerlaan 80.0 ,7602BW,ALMELO,Overijssel,1900-01-01,2013-08-01,False,H,ILOC,D,International Location,Historical,113.6
02DO06,D,ILOC,higher,international,CSG Het Noordik (Algemene Directie),Ootmarsumsestraat 73.0 ,7602JR,ALMELO,Overijssel,1900-01-01,2013-08-01,False,H,ILOC,D,International Location,Historical,113.6
02EB05,D,ILOC,higher,international,C.S. Vincent van Gogh SVO (lom),Oostergoo 7.0 ,9405GZ,ASSEN,Drenthe,1900-01-01,2005-01-01,False,H,ILOC,D,International Location,Historical,105.0
02EJ02,D,ILOC,higher,international,De Leidse Buitenschool - Cardea Campus Katwijk,Tulpstraat 15.0 ,2223HN,KATWIJK ZH,Zuid-Holland,2009-08-01,2014-01-01,False,H,ILOC,D,International Location,Historical,4.4
02EJ03,D,ILOC,higher,international,De Leidse Buitenschool - Cardea Campus Lisse,Broekweg 112.0 ,2161XG,LISSE,Zuid-Holland,2009-08-01,2014-01-01,False,H,ILOC,D,International Location,Historical,4.4
02EK03,D,ILOC,higher,international,Pius X College-loc. Aalderinkshoek,Cesar Franckstraat 4.0 ,7604JG,ALMELO,Overijssel,1900-01-01,2008-08-01,False,H,ILOC,D,International Location,Historical,108.6
02EK03,D,ILOC,higher,international,Pius X College-loc. Centrale Directie,Cesar Franckstraat 4.0 ,7604JG,ALMELO,Overijssel,1900-01-01,2008-08-01,False,H,ILOC,D,International Location,Historical,108.6
02EP01,D,ILOC,higher,international,MKD 't Hofke,J.H. Knoopstraat 4.0 ,8933GS,LEEUWARDEN,Friesland,1900-01-01,2014-08-01,False,H,ILOC,D,International Location,Historical,114.6
02EP01,D,ILOC,higher,international,MKD 't Hofke,Wilaarderburen 2.0 ,8924JK,LEEUWARDEN,Friesland,1900-01-01,2014-08-01,False,H,ILOC,D,International Location,Historical,114.6
02EY04,D,ILOC,higher,international,Hoenderloo College voor VSO/ZMOK locatie Beets,Arckelaan 4.0 ,7351BJ,HOENDERLOO,Gelderland,1980-04-01,2011-01-01,False,H,ILOC,D,International Location,Historical,30.8
02FC05,D,ILOC,higher,international,"Ulenhof College Chr. Scholengemeenschap voor vwo, havo en vmbo",Mackaylaan 41.0 ,7003AS,DOETINCHEM,Gelderland,1965-05-16,2013-08-01,False,H,ILOC,D,International Location,Historical,48.2
02FC05,D,ILOC,higher,international,Ulenhof College,Mackaylaan 41.0 ,7003AS,DOETINCHEM,Gelderland,1965-05-16,2013-08-01,False,H,ILOC,D,International Location,Historical,48.2
02FC06,D,ILOC,higher,international,"Ulenhofcollege Chr. Scholengemeenschap vwo, havo en vmbo",Nieuwstad 49.0 ,7251AG,VORDEN,Gelderland,1965-05-16,2013-08-01,False,H,ILOC,D,International Location,Historical,48.2
02FC06,D,ILOC,higher,international,Ulenhof College,Nieuwstad 49.0 ,7251AG,VORDEN,Gelderland,1965-05-16,2013-08-01,False,H,ILOC,D,International Location,Historical,48.2
02FI01,D,ILOC,higher,international,SBO De Boemerang / De Bergpas,Dijkweg 22.0 B,2671GB,NAALDWIJK,Zuid-Holland,1900-01-01,2011-08-01,False,H,ILOC,D,International Location,Historical,111.6
02FI01,D,ILOC,higher,international,SBO De Boemerang / De Bergpas,Dijkweg 22.0 ,2671GB,NAALDWIJK,Zuid-Holland,1900-01-01,2011-08-01,False,H,ILOC,D,International Location,Historical,111.6
02FI02,D,ILOC,higher,international,SBO De Diamant loc. Hoge Woerd,Hoge Woerd 27.0 ,2671DH,NAALDWIJK,Zuid-Holland,2015-08-01,,True,A,ILOC,D,International Location,Active,9.5
02FL02,D,ILOC,higher,international,SG. de Lingeborgh,Tunnelweg 36.0 ,4191KJ,GELDERMALSEN,Gelderland,1900-01-01,2001-04-01,False,H,ILOC,D,International Location,Historical,101.2
02FL03,D,ILOC,higher,international,SG de Lingeborgh,Herman Kuijkstraat 11.0 ,4191AH,GELDERMALSEN,Gelderland,1900-01-01,2001-04-01,False,H,ILOC,D,International Location,Historical,101.2
02FN02,D,ILOC,higher,international,De Weerklank,Obrechtstraat 4.0 ,2324VN,LEIDEN,Zuid-Holland,1900-01-01,2011-01-01,False,H,ILOC,D,International Location,Historical,111.0
02FN02,D,ILOC,higher,international,De Weerklank VO loc. Leiden,Obrechtstraat 4.0 ,2324VN,LEIDEN,Zuid-Holland,1900-01-01,2011-01-01,False,H,ILOC,D,International Location,Historical,111.0
02FQ00,D,LOC,higher,locations,CHR EC COLL BENEDEN MAAS,Buys-Ballotlaan 25.0 ,3132SC,VLAARDINGEN,Zuid-Holland,1900-01-01,1997-08-01,False,H,LOC,D,Higher Education Location,Historical,97.6
02FQ00,D,LOC,higher,locations,Christelijk Economisch College Beneden Maas,Buys-Ballotlaan 25.0 ,3132SC,VLAARDINGEN,Zuid-Holland,1900-01-01,1997-08-01,False,H,LOC,D,Higher Education Location,Historical,97.6
02FQ01,D,LOC,higher,locations,CHR SCHGEM BENEDEN MAAS,Willem Beukelszoonstraat 62.0 ,3134LZ,VLAARDINGEN,Zuid-Holland,1900-01-01,1997-08-01,False,H,LOC,D,Higher Education Location,Historical,97.6
02FQ01,D,LOC,higher,locations,Christelijk Economisch College Beneden Maas,Willem Beukelszoonstraat 62.0 ,3134LZ,VLAARDINGEN,Zuid-Holland,1900-01-01,1997-08-01,False,H,LOC,D,Higher Education Location,Historical,97.6
02FQ02,D,LOC,higher,locations,Lokatie B BALLOTLN,Buys-Ballotlaan 25.0 ,3132SC,VLAARDINGEN,Zuid-Holland,1996-08-01,1997-08-01,False,H,LOC,D,Higher Education Location,Historical,1.0
02FQ02,D,LOC,higher,locations,Christelijk Economisch College Beneden Maas,Buys-Ballotlaan 25.0 ,3132SC,VLAARDINGEN,Zuid-Holland,1996-08-01,1997-08-01,False,H,LOC,D,Higher Education Location,Historical,1.0
02FQ03,D,LOC,higher,locations,Christelijk Economisch College Beneden Maas,Brouwerijstraat 1.0 ,3142GA,MAASSLUIS,Zuid-Holland,1996-08-01,1997-08-01,False,H,LOC,D,Higher Education Location,Historical,1.0
02FQ04,D,LOC,higher,locations,Christelijk Economisch College Beneden Maas,Burg Van Haarenlaan 952.0 ,3118GL,SCHIEDAM,Zuid-Holland,1996-08-01,1997-08-01,False,H,LOC,D,Higher Education Location,Historical,1.0
02FQ05,D,LOC,higher,locations,Christelijk Economisch College Beneden Maas,Druivenstraat 1.0 ,2671SC,NAALDWIJK,Zuid-Holland,1996-08-01,1997-08-01,False,H,LOC,D,Higher Education Location,Historical,1.0
02FU00,D,LOC,higher,locations,Vakopleiding in Kappersbedrijf Ondernemersopleiding,Bisonspoor 3000.0 ,3605LT,MAARSSEN,Utrecht,1900-01-01,2003-08-01,False,H,LOC,D,Higher Education Location,Historical,103.6
02FY06,D,ILOC,higher,international,Europese Leerroute,Bolwerk-Zuid 168.0 ,4611DX,BERGEN OP ZOOM,Noord-Brabant,2007-01-01,2013-08-01,False,H,ILOC,D,International Location,Historical,6.6
02FY06,D,ILOC,higher,international,"OMO Scholengroep Bergen op Zoom e.o., Europese Leerroute",Bolwerk-Zuid 168.0 ,4611DX,BERGEN OP ZOOM,Noord-Brabant,2007-01-01,2013-08-01,False,H,ILOC,D,International Location,Historical,6.6
02GD03,D,ILOC,higher,international,OCR Het Roessingh LG,Roessinghsbleekweg 33.0 ,7522AH,ENSCHEDE,Overijssel,1900-01-01,2011-01-01,False,H,ILOC,D,International Location,Historical,111.0
02GD04,D,ILOC,higher,international,OCR Het Roessingh VSO,Roessinghsbleekweg 33.0 ,7522AH,ENSCHEDE,Overijssel,1900-01-01,2011-01-01,False,H,ILOC,D,International Location,Historical,111.0
02GP01,D,ILOC,higher,international,Rijnlands Lyceum Aberdeen Cults Academy,  ,,,,1900-01-01,2000-03-24,False,H,ILOC,D,International Location,Historical,100.2
02GP02,D,ILOC,higher,international,Rijnlands Lyceum afd. IGVO (ISH),Theo Mann-Bouwmeesterln 75.0 ,2597GV,'S-GRAVENHAGE,Zuid-Holland,1900-01-01,2013-08-01,False,H,ILOC,D,International Location,Historical,113.6
02GP02,D,ILOC,higher,international,Rijnlands Lyceum afd. IGVO (ISH),Wijndaelerduin 1.0 ,2554BX,'S-GRAVENHAGE,Zuid-Holland,1900-01-01,2013-08-01,False,H,ILOC,D,International Location,Historical,113.6
02GP03,D,ILOC,higher,international,"Rijnlands Lyceum Wassenaar, School voor Jong Talent, Koninklijk Conservatorium",Juliana van Stolberglaan 1.0 ,2595CA,'S-GRAVENHAGE,Zuid-Holland,1900-01-01,2013-08-01,False,H,ILOC,D,International Location,Historical,113.6
02GQ02,D,ILOC,higher,international,locatie Utrechtse Heuvelrug,Laan van Vollenhove 2191.0 ,3706GW,ZEIST,Utrecht,1949-07-23,2001-02-22,False,H,ILOC,D,International Location,Historical,51.6
02GT00,D,LOC,higher,locations,Geintegeerde Vakopleiding Levensmiddelenbedrijf,Hoofdstraat 78.0 ,3972LB,DRIEBERGEN-RIJSENBURG,Utrecht,1900-01-01,2003-08-01,False,H,LOC,D,Higher Education Location,Historical,103.6
02GU00,D,LOC,higher,locations,Vakopleiding Textiel Detex,Driebergsestraatweg 11.0 ,3941ZW,DOORN,Utrecht,1900-01-01,2003-08-01,False,H,LOC,D,Higher Education Location,Historical,103.6
02GY00,D,LOC,higher,locations,Stichting Vakopleiding voor Poeliers,Steekterweg 78.0 ,2407BH,ALPHEN AAN DEN RIJN,Zuid-Holland,1900-01-01,2003-08-01,False,H,LOC,D,Higher Education Location,Historical,103.6
02GZ00,D,LOC,higher,locations,Vakopleiding Vishandel,Treubstraat 17.0 ,2288EH,RIJSWIJK ZH,Zuid-Holland,1900-01-01,2003-08-01,False,H,LOC,D,Higher Education Location,Historical,103.6
02HB00,D,LOC,higher,locations,Opleiding voor de Doe Het Zelf Detailhandel,Fonteynenburghlaan 8.0 ,2275CX,VOORBURG,Zuid-Holland,1968-08-01,2003-08-01,False,H,LOC,D,Higher Education Location,Historical,35.0
02HB01,D,LOC,higher,locations,Lokatie FONTEYNENBURGHLN,Fonteynenburghlaan 8.0 ,2275CX,VOORBURG,Zuid-Holland,1996-08-01,2003-08-01,False,H,LOC,D,Higher Education Location,Historical,7.0
02HI07,D,ILOC,higher,international,"Schelde College, locatie Drabbestraat",Drabbestraat 2.0 ,4611EB,BERGEN OP ZOOM,Noord-Brabant,1907-11-07,2004-06-04,False,H,ILOC,D,International Location,Historical,96.6
02HQ00,D,LOC,higher,locations,ECON LYCEUM DG/AV COLL,Bredeweg 235.0 ,6042GE,ROERMOND,Limburg,1900-01-01,1997-08-01,False,H,LOC,D,Higher Education Location,Historical,97.6
02HQ01,D,LOC,higher,locations,Lokatie BREDEWG,Bredeweg 235.0 ,6042GE,ROERMOND,Limburg,1996-08-01,1997-08-01,False,H,LOC,D,Higher Education Location,Historical,1.0
02IT,U,HBOS,higher,main,Katholieke Hogere Hotelschool,Postbus 3900.0 ,6202NX,MAASTRICHT,Limburg,1983-03-01,1997-09-01,False,H,HBOS,U,University of Applied Sciences,Historical,14.5
02IT00,D,LOC,higher,locations,Katholieke Hogere Hotelschool Maastricht,Jeruzalemweg 1.0 ,6222NG,MAASTRICHT,Limburg,1983-03-01,1997-09-01,False,H,LOC,D,Higher Education Location,Historical,14.5
02JC00,D,LOC,higher,locations,Algemene Bijzondere Scholengemeenschap voor Mbo Kmbo Hanze College,Dokter Hengeveldweg 2.0 ,8025AK,ZWOLLE,Overijssel,1957-01-31,1998-08-01,False,H,LOC,D,Higher Education Location,Historical,41.5
02JC01,D,LOC,higher,locations,Lokatie DR HENGEVELDWG,Dokter Hengeveldweg 2.0 ,8025AK,ZWOLLE,Overijssel,1996-08-01,1998-08-01,False,H,LOC,D,Higher Education Location,Historical,2.0
02JG02,D,ILOC,higher,international,het Emelwerda College - geb. de Wilg,Wilgenlaan 1.0 ,8302AM,EMMELOORD,Flevoland,1900-01-01,2011-08-01,False,H,ILOC,D,International Location,Historical,111.6
02JG03,D,ILOC,higher,international,het Emelwerda College - geb. de Es,Espelerlaan 72.0 ,8302DC,EMMELOORD,Flevoland,1900-01-01,2011-08-01,False,H,ILOC,D,International Location,Historical,111.6
02KB05,D,ILOC,higher,international,Rebound Duin- en Bollenstreek,Leidsevaart 4.0 ,2215RE,VOORHOUT,Zuid-Holland,2007-08-01,,True,H,ILOC,D,International Location,Active,17.5
02KB05,D,ILOC,higher,international,Rebound Duin- en Bollenstreek,Leidsevaart 4.0 ,2215RE,VOORHOUT,Zuid-Holland,2007-08-01,,True,A,ILOC,D,International Location,Active,17.5
02KF00,D,LOC,higher,locations,Ned Kath Midb Tech Sch St Lucas Sch V Mbo,Grote Beemd 24.0 ,5281CD,BOXTEL,Noord-Brabant,1900-01-01,2009-08-01,False,H,LOC,D,Higher Education Location,Historical,109.6
02KF00,D,LOC,higher,locations,Sint Lucas,Grote Beemd 24.0 ,5281CD,BOXTEL,Noord-Brabant,1900-01-01,2009-08-01,False,H,LOC,D,Higher Education Location,Historical,109.6
02KF00,D,LOC,higher,locations,SintLucas,Grote Beemd 24.0 ,5281CD,BOXTEL,Noord-Brabant,1900-01-01,2009-08-01,False,H,LOC,D,Higher Education Location,Historical,109.6
02KF00,D,LOC,higher,locations,SintLucas,Burgakker 17.0 ,5281CH,BOXTEL,Noord-Brabant,1900-01-01,2009-08-01,False,H,LOC,D,Higher Education Location,Historical,109.6
02KF01,D,LOC,higher,locations,Ned Kath Midb Tech Sch St Lucas,Burgakker 17.0 ,5281CH,BOXTEL,Noord-Brabant,1900-01-01,2009-08-01,False,H,LOC,D,Higher Education Location,Historical,109.6
02KF01,D,LOC,higher,locations,Sint Lucas,Burgakker 17.0 ,5281CH,BOXTEL,Noord-Brabant,1900-01-01,2009-08-01,False,H,LOC,D,Higher Education Location,Historical,109.6
02KF02,D,LOC,higher,locations,Lokatie GRT BEEMD,Grote Beemd 24.0 ,5281CD,BOXTEL,Noord-Brabant,1996-08-01,2009-08-01,False,H,LOC,D,Higher Education Location,Historical,13.0
02KF02,D,LOC,higher,locations,Lokatie GRT BEEMD,Burgakker 17.0 ,5281CH,BOXTEL,Noord-Brabant,1996-08-01,2009-08-01,False,H,LOC,D,Higher Education Location,Historical,13.0
02KM04,D,ILOC,higher,international,LJC2 Grafimedia,Terschellingpad 2.0 ,2036KH,HAARLEM,Noord-Holland,1970-01-01,2007-01-01,False,H,ILOC,D,International Location,Historical,37.0
02KX02,D,ILOC,higher,international,"St. Jozef, school voor SO/VSO-ZMOK, afdeling t Keerpunt",Pater Kustersweg 3.0 ,6267NL,CADIER EN KEER,Limburg,1900-01-01,2007-06-01,False,H,ILOC,D,International Location,Historical,107.4
02LB12,D,ILOC,higher,international,"Nieuw Zuid, lokatie Hillevliet",Hillevliet 90.0 ,3074KD,ROTTERDAM,Zuid-Holland,1900-01-01,2003-08-01,False,H,ILOC,D,International Location,Historical,103.6
02LC00,D,LOC,higher,locations,Rooms Katholieke Scholengemeenschap Florijn College voor Mbo Mavo Vbo,Mgr. Hopmansstraat 15.0 ,4817JT,BREDA,Noord-Brabant,1900-01-01,1998-01-01,False,H,LOC,D,Higher Education Location,Historical,98.0
02LC00,D,LOC,higher,locations,Rooms Katholieke Scholengemeenschap Florijn College voor Mbo Mavo Vbo,Wilhelminasingel 33.0 ,4817JX,BREDA,Noord-Brabant,1900-01-01,1998-01-01,False,H,LOC,D,Higher Education Location,Historical,98.0
02LC04,D,LOC,higher,locations,Lokatie MGR HOPMANSSTR,Mgr. Hopmansstraat 15.0 ,4817JT,BREDA,Noord-Brabant,1996-08-01,1998-01-01,False,H,LOC,D,Higher Education Location,Historical,1.4
02LC05,D,LOC,higher,locations,Lokatie WILHELMINASNGL,Wilhelminasingel 33.0 ,4817JX,BREDA,Noord-Brabant,1996-08-01,1998-01-01,False,H,LOC,D,Higher Education Location,Historical,1.4
02LD,U,HBOS,higher,main,Hogeschool De Horst,Horstlaan 2.0 ,3971LC,DRIEBERGEN-RIJSENBURG,Utrecht,1900-01-01,2005-09-01,False,H,HBOS,U,University of Applied Sciences,Historical,105.7
02LD00,D,LOC,higher,locations,Hogeschool De Horst,Horstlaan 2.0 ,3971LC,DRIEBERGEN-RIJSENBURG,Utrecht,1900-01-01,2005-09-01,False,H,LOC,D,Higher Education Location,Historical,105.7
02LG07,D,ILOC,higher,international,St. Antoniuscollege dep.brugklassen locatie Rietgors,Sportlaan 83.0 ,2806HC,GOUDA,Zuid-Holland,1949-09-01,2005-10-24,False,H,ILOC,D,International Location,Historical,56.1
02LH00,D,LOC,higher,locations,Kantwerkschool Ieder voor Allen,Molenweg 1.0 ,1608EC,WIJDENES,Noord-Holland,1900-01-01,2003-08-01,False,H,LOC,D,Higher Education Location,Historical,103.6
02ME05,D,ILOC,higher,international,Scholengemeenschap Tabor,Berkhouterweg 5.0 ,1624NS,HOORN NH,Noord-Holland,1959-09-01,2002-06-28,False,H,ILOC,D,International Location,Historical,42.8
02MF04,D,ILOC,higher,international,Christelijke Scholengemeenschap Veenendaal afdeling Praktijkonderwijs,Boompjesgoed 14.0 ,3901MJ,VEENENDAAL,Utrecht,1900-01-01,2007-08-01,False,H,ILOC,D,International Location,Historical,107.6
02MO01,D,ILOC,higher,international,Prof.dr. H.C. Huizingschool SO - afd. mg,Maatmanweg 15.0 ,7522AN,ENSCHEDE,Overijssel,1956-05-31,2009-08-01,False,H,ILOC,D,International Location,Historical,53.2
02MY03,D,ILOC,higher,international,het DaCapo College,Broeksittarderweg 45.0 ,6137BH,SITTARD,Limburg,1900-01-01,2004-08-01,False,H,ILOC,D,International Location,Historical,104.6
02NN,U,HBOS,higher,main,Rk Technische Hogeschool Ryswyk,Lange Kleiweg 4.0 ,2288GK,RIJSWIJK ZH,Zuid-Holland,1959-02-25,2004-01-01,False,H,HBOS,U,University of Applied Sciences,Historical,44.8
02NN,U,HBOS,higher,main,Rk Technische Hogeschool Ryswyk,Lange Kleiweg 80.0 ,2288GK,RIJSWIJK ZH,Zuid-Holland,1959-02-25,2004-01-01,False,H,HBOS,U,University of Applied Sciences,Historical,44.8
02NN00,D,LOC,higher,locations,Rk Technische Hogeschool Ryswyk,Lange Kleiweg 4.0 ,2288GK,RIJSWIJK ZH,Zuid-Holland,1959-02-25,2004-01-01,False,H,LOC,D,Higher Education Location,Historical,44.8
02NN00,D,LOC,higher,locations,RK Technische Hogeschool Rijswijk,Lange Kleiweg 4.0 ,2288GK,RIJSWIJK ZH,Zuid-Holland,1959-02-25,2004-01-01,False,H,LOC,D,Higher Education Location,Historical,44.8
02NN00,D,LOC,higher,locations,RK Technische Hogeschool Rijswijk,Lange Kleiweg 80.0 ,2288GK,RIJSWIJK ZH,Zuid-Holland,1959-02-25,2004-01-01,False,H,LOC,D,Higher Education Location,Historical,44.8
02NR,U,HBOS,higher,main,Hotelschool Den Haag Hs Voor Hotelmanagement,Brusselselaan 2.0 ,2587AH,'S-GRAVENHAGE,Zuid-Holland,1900-01-01,,True,H,HBOS,U,University of Applied Sciences,Active,125.1
02NR,U,HBOS,higher,main,Hotelschool Den Haag,Brusselselaan 2.0 ,2587AH,'S-GRAVENHAGE,Zuid-Holland,1900-01-01,,True,H,HBOS,U,University of Applied Sciences,Active,125.1
02NR,U,HBOS,higher,main,Hotelschool The Hague,Brusselselaan 2.0 ,2587AH,'S-GRAVENHAGE,Zuid-Holland,1900-01-01,,True,A,HBOS,U,University of Applied Sciences,Active,125.1
02NR00,D,LOC,higher,locations,Hotelschool Den Haag Hs Voor Hotelmanagement,Brusselselaan 2.0 ,2587AH,'S-GRAVENHAGE,Zuid-Holland,1900-01-01,,True,H,LOC,D,Higher Education Location,Active,125.1
02NR00,D,LOC,higher,locations,Hotelschool The Hague,Brusselselaan 2.0 ,2587AH,'S-GRAVENHAGE,Zuid-Holland,1900-01-01,,True,A,LOC,D,Higher Education Location,Active,125.1
02NT,U,HBOS,higher,main,Akd Industr Vormgeving,Elzentlaan 20.0 ,5611LN,EINDHOVEN,Noord-Brabant,1954-05-24,,True,H,HBOS,U,University of Applied Sciences,Active,70.7
02NT,U,HBOS,higher,main,The Design Academy,Elzentlaan 20.0 ,5611LN,EINDHOVEN,Noord-Brabant,1954-05-24,,True,H,HBOS,U,University of Applied Sciences,Active,70.7
