NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,education_sector,institution_type,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,is_active,CODE_STAND_RECORD,location_type,function_type,education_type,temporal_status,years_of_operation
00BN00,D,LOC,higher,locations,Stichting Oud Katholiek Seminarie,Koningin Wilhelminalaan 3.0 ,3818HN,AMERSFOORT,Utrecht,1970-12-07,2015-01-01,False,H,LOC,D,Higher Education Location,Historical,44.1
00BO,U,UNIV,higher,main,Evangelisch Lutherse Synode,Jan de Bakkerstraat 13.0 -15,3441ED,WOERDEN,Utrecht,1985-01-01,2007-01-01,False,H,UNIV,U,Research University,Historical,22.0
00BO,U,UNIV,higher,main,Evangelisch-Lutherse Synode,Joseph Haydnlaan 2.0 A,3533AE,UTRECHT,Utrecht,1985-01-01,2007-01-01,False,H,UNIV,U,Research University,Historical,22.0
00BO00,D,LOC,higher,locations,Evangelisch Lutherse Synode,Jan de Bakkerstraat 13.0 -15,3441ED,WOERDEN,Utrecht,1985-01-01,2007-01-01,False,H,LOC,D,Higher Education Location,Historical,22.0
00BO00,D,LOC,higher,locations,Evangelisch-Lutherse Synode,Joseph Haydnlaan 2.0 A,3533AE,UTRECHT,Utrecht,1985-01-01,2007-01-01,False,H,LOC,D,Higher Education Location,Historical,22.0
00CB03,D,ILOC,higher,international,Tobiasstroom,Prof. Lorentzlaan 16.0 ,3701CC,ZEIST,Utrecht,1986-08-01,2013-08-01,False,H,ILOC,D,International Location,Historical,27.0
00CB03,D,ILOC,higher,international,SVS-Tobiasstroom,Prof. Lorentzlaan 16.0 ,3701CC,ZEIST,Utrecht,1986-08-01,2013-08-01,False,H,ILOC,D,International Location,Historical,27.0
00DI05,D,ILOC,higher,international,rsg De Borgen locactie Interborg (ISK),De Schelp 33.0 ,9351NV,LEEK,Groningen,1966-08-01,2005-08-01,False,H,ILOC,D,International Location,Historical,39.0
00DV,U,UNIV,higher,main,Theologische Universiteit van de Gereformeerd Kerken in Nederland,Koornmarkt 1.0 ,8261JX,KAMPEN,Overijssel,1985-01-01,,True,H,UNIV,U,Research University,Active,40.1
00DV,U,UNIV,higher,main,Protestantse Theologische Universiteit,Koornmarkt 1.0 ,8261JX,KAMPEN,Overijssel,1985-01-01,,True,H,UNIV,U,Research University,Active,40.1
00DV,U,UNIV,higher,main,Protestantse Theologische Universiteit,De Boelelaan 1105.0 ,1081HV,AMSTERDAM,Noord-Holland,1985-01-01,,True,A,UNIV,U,Research University,Active,40.1
00DV00,D,LOC,higher,locations,Theologische Universiteit van de Gereformeerd Kerken in Nederland,Koornmarkt 1.0 ,8261JX,KAMPEN,Overijssel,1985-01-01,,True,H,LOC,D,Higher Education Location,Active,40.1
00DV00,D,LOC,higher,locations,Protestantse Theologische Universiteit,Koornmarkt 1.0 ,8261JX,KAMPEN,Overijssel,1985-01-01,,True,H,LOC,D,Higher Education Location,Active,40.1
00DV00,D,LOC,higher,locations,Protestantse Theologische Universiteit,De Boelelaan 1105.0 ,1081HV,AMSTERDAM,Noord-Holland,1985-01-01,,True,A,LOC,D,Higher Education Location,Active,40.1
00DV01,D,LOC,higher,locations,Theologische Universiteit Gereformeerd Kerk,Oudestraat 6.0 ,8261CP,KAMPEN,Overijssel,1985-01-01,,True,H,LOC,D,Higher Education Location,Active,40.1
00DV01,D,LOC,higher,locations,Protestantse Theologische Universiteit,Oudestraat 6.0 ,8261CP,KAMPEN,Overijssel,1985-01-01,,True,H,LOC,D,Higher Education Location,Active,40.1
00DV01,D,LOC,higher,locations,Protestantse Theologische Universiteit,Heidelberglaan 2.0 ,3584CS,UTRECHT,Utrecht,1985-01-01,,True,H,LOC,D,Higher Education Location,Active,40.1
00DV01,D,LOC,higher,locations,Protestantse Theologische Universiteit,Oude Ebbingestraat 25.0 ,9712HA,GRONINGEN,Groningen,1985-01-01,,True,A,LOC,D,Higher Education Location,Active,40.1
00DV02,D,LOC,higher,locations,Protestantse Theologische Universiteit,Matthias de Vrieshof 1.0 ,2311BZ,LEIDEN,Zuid-Holland,2007-01-01,2012-09-01,False,A,LOC,D,Higher Education Location,Historical,5.7
