NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF
00TO04,D,VST,Talita Koemi,Vuurdoornstraat 19.0 ,6543TX,NIJMEGEN,Gelderland,Active,Primary Branch Location,-0.5,2020s,,2025-08-01 to Present,2025-08-01,
00TO05,D,VST,Talita Koemi,Tapirstraat 2.0 ,6532AL,NIJMEGEN,Gelderland,Active,Primary Branch Location,-0.5,2020s,,2025-08-01 to Present,2025-08-01,
32ET,U,BAS,'t Schrijverke,Graspieper 10.0 ,5731SP,MIERLO,Noord-Brabant,Active,Regular Primary School,-0.5,2020s,,2025-08-01 to Present,2025-08-01,
32FR00,D,VST,German European School Singapore,  ,,,,Active,Primary Branch Location,0.3,2020s,,2024-10-01 to Present,2024-10-01,
32FX,U,BAS,Futurum,Markerkant 12.0 1-25,1314AJ,ALMERE,Flevoland,Active,Regular Primary School,0.4,2020s,,2024-09-01 to Present,2024-09-01,
00NT11,D,VST,De Schatkist,Velddreef 322.0 ,2727CV,ZOETERMEER,Zuid-Holland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
00OJ01,D,VST,Klimopschool VSO,Korczakstraat 1.0 ,4335ER,MIDDELBURG,Zeeland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
00RT07,D,VST,Sonnewijser route Arbeid Tiel,Adamshof 14.0 ,4001DB,TIEL,Gelderland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
02EJ05,D,VST,De Leidse Buitenschool Campus Lisse,Ruishornlaan 29.0 ,2162VW,LISSE,Zuid-Holland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
02EJ06,D,VST,De Leidse Buitenschool,Van Lierestraat 8.0 ,2221SC,KATWIJK ZH,Zuid-Holland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
02PQ17,D,VST,Suringarcollege,Mettrayweg 53.0 ,7211LC,EEFDE,Gelderland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
02RF03,D,VST,Berg en Bosch College Houten,Handboog 4.0 ,3994AD,HOUTEN,Utrecht,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
02RO05,D,VST,Foooocus Beuningen,Julianaplein 21.0 ,6641CS,BEUNINGEN GLD,Gelderland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
02RV03,D,VST,De Wingerd,Havikshorst 23.0 ,5431LZ,CUIJK,Noord-Brabant,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
02RV04,D,VST,Foooocus Venray,Hoenderstraat 4.0 6,5801CK,VENRAY,Limburg,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
07DB02,D,VST,Daltonschool de Meiboom,Meijhorst 2958.0 ,6537HD,NIJMEGEN,Gelderland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
08ZP08,D,VST,Taalbrug Junior,Onderstestraat 29.0 ,6301KA,VALKENBURG LB,Limburg,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
17BI07,D,VST,"NUOVO Scholen, openbaar vmbo, mavo, havo, vwo, vest. NXT Maarsbergen",Woudenbergseweg 22.0 a,3953MG,MAARSBERGEN,Utrecht,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
18VA02,D,VST,Praktijk College Brielle,Hossenbosdijk 14.0 -16,3232PX,BRIELLE,Zuid-Holland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
20VT08,D,VST,Passer College Hoornweg,Hoornweg 45.0 ,3042BC,ROTTERDAM,Zuid-Holland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
20VT09,D,VST,De kleine plantage,Kralingseweg 463.0 ,3065RG,ROTTERDAM,Zuid-Holland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
20VT10,D,VST,Klein Coolstraat,Klein-Coolstraat 37.0 ,3033XR,ROTTERDAM,Zuid-Holland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
20VT11,D,VST,Hillevliet,Hillevliet 126.0 A,3074KD,ROTTERDAM,Zuid-Holland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
25PW51,D,VST,Stg. Regionaal Opleid. Centrum Drenthe,Vredeveldseweg 55.0 ,9404CC,ASSEN,Drenthe,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
25PW52,D,VST,Stg. Regionaal Opleid. Centrum Drenthe,Burg. J.G. Legroweg 29.0 ,9761TA,EELDE,Drenthe,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
25PW53,D,VST,Stg. Regionaal Opleid. Centrum Drenthe,Huizingsbrinkweg 9.0 ,7812BK,EMMEN,Drenthe,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
25PW54,D,VST,Stg. Regionaal Opleid. Centrum Drenthe,Werkhorst 58.0 ,7944AV,MEPPEL,Drenthe,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
25PW55,D,VST,Stg. Regionaal Opleid. Centrum Drenthe,Molenstraat 12.0 ,9821PG,OLDEKERK,Groningen,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
25PW56,D,VST,Stg. Regionaal Opleid. Centrum Drenthe,Hamrik 4.0 a,9951JH,WINSUM GN,Groningen,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
25PW58,D,VST,Stg Regionaal Opleid. Centrum Drenthe,Paulus Potterstraat 33.0 ,8471VM,WOLVEGA,Friesland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
25PW60,D,VST,Stg Regionaal Opleid. Centrum Drenthe,Werkhorst 36.0 ,7944AV,MEPPEL,Drenthe,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32CY00,D,VST,Al Amana,Noordse Parklaan 4.0 ,3513GV,UTRECHT,Utrecht,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32DA00,D,VST,Het Martin Buber,Marktstraat 6.0 ,6461CX,KERKRADE,Limburg,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32DC00,D,VST,"Aida College voor rmavo, havo en vwo",Veluweplein 1.0 ,2571GA,'S-GRAVENHAGE,Zuid-Holland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32DD,U,BAS,Aida,Elboogstraat 68.0 ,2516PV,'S-GRAVENHAGE,Zuid-Holland,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32DE00,D,VST,"Avicenna College Den Haag voor mavo, havo en vwo",Zuidlarenstraat 6.0 ,2545VX,'S-GRAVENHAGE,Zuid-Holland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32DP,U,BAS,Het Palet,Zuiderparklaan 45.0 ,2662AD,BERGSCHENHOEK,Zuid-Holland,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32DR00,D,VST,Focus College Amersfoort,Softwareweg 7.0 ,3821BN,AMERSFOORT,Utrecht,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32DU,U,BAS,Tamar,Fluitenbergstraat 6.0 ,2545NL,'S-GRAVENHAGE,Zuid-Holland,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32DV,U,BAS,Kindcentrum Kasteelhoeve,Buckhorstlaan 50.0 ,8043RL,ZWOLLE,Overijssel,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32DW,U,BAS,De Achtbaan,Pieter v Slingerlandstr 40.0 ,2215SZ,VOORHOUT,Zuid-Holland,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32DX,U,BAS,Teresa,Wergeasterdyk 58.0 ,8941ZX,LEEUWARDEN,Friesland,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32DY,U,BAS,Het Saffier,Belvederelaan 444.0 ,8043VD,ZWOLLE,Overijssel,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32DZ00,D,VST,WOW VO voor havo en vwo,Duivenpad 7.0 ,3055VE,ROTTERDAM,Zuid-Holland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32EA00,D,VST,Montessori College Maastricht voor Atheneum en Gymnasium,Wilhelminasingel 80.0 ,6221BL,MAASTRICHT,Limburg,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32ED,U,BAS,KindPunt Gravelanden,De Vissersingel 1.0 ,7942EA,MEPPEL,Drenthe,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32EH,U,BAS,Kindcentrum WillemsPoort,Anton Ebbenhof 90.0 ,5026PN,TILBURG,Noord-Brabant,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32EJ,U,BAS,IBS De Sahaba,Dragonstraat 11.0 13,5044HR,TILBURG,Noord-Brabant,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32EK,U,BAS,De Noorderstroom,Titiaanstraat 100.0 ,6663PN,LENT,Gelderland,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32EL,U,BAS,'t Startblok,Jan van Arkelweg 2.0 ,3791AC,ACHTERVELD,Utrecht,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32EM,U,BAS,Kindcentrum Noorderveld,Zuiderlaan 197.0 b,7944EE,MEPPEL,Drenthe,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32EN,U,BAS,Aboe Ayoeb Al Ansari,Slotjesveld 11.0 ,4902ZP,OOSTERHOUT NB,Noord-Brabant,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32EP,U,BAS,Ababil-2 Schiedam,Galileistraat 86.0 ,3112PJ,SCHIEDAM,Zuid-Holland,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32EU,U,BAS,Enderun Hisar Amsterdam,Buskenblaserstraat 65.0 ,1055AG,AMSTERDAM,Noord-Holland,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32EV,U,BAS,De Walvis,Philips de Goedestraat 162.0 ,3132XT,VLAARDINGEN,Zuid-Holland,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32EZ,U,BAS,Enderun Hisar Rotterdam,Zwederstraat 54.0 ,3073ZT,ROTTERDAM,Zuid-Holland,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32FA,U,BAS,Elif Zaandam,Jachtenlaan 9.0 ,1503HS,ZAANDAM,Noord-Holland,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32FB,U,BAS,Kindcentrum De Beuk,Beukenhaag 1.0 ,5091DA,OOST WEST EN MIDDELBEERS,Noord-Brabant,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32FC,U,BAS,OBS De Torenvalk,Buizerdweg 27.0 ,8245AA,LELYSTAD,Flevoland,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32FD,U,BAS,IKC Metropool,Hogehilweg 10.0 ,1101CC,AMSTERDAM,Noord-Holland,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32FE,U,BAS,Marimba,Wildenburglaan 4.0 ,3744MK,BAARN,Utrecht,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32FJ00,D,VST,OPDC-Almere,Discuslaan 3.0 ,1318EJ,ALMERE,Flevoland,Active,Primary Branch Location,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32FM,U,BAS,Arise International Christian School,Prins Bernhardplein 40.0 ,3555AL,UTRECHT,Utrecht,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32FZ,U,BAS,De Kennisbron,Specerijenpad 12.0 ,3541RL,UTRECHT,Utrecht,Active,Regular Primary School,0.5,2020s,,2024-08-01 to Present,2024-08-01,
32ER00,D,VST,Landstede PRO,Blaloweg 1.0 ,8041AH,ZWOLLE,Overijssel,Closed,Primary Branch Location,0.2,2020s,2020s,2024-06-01 to 2024-08-01,2024-06-01,2024-08-01
32FK,U,BAS,Cloud Academie,De Steupel 21.0 ,2811NP,REEUWIJK,Zuid-Holland,Active,Regular Primary School,0.7,2020s,,2024-05-01 to Present,2024-05-01,
32EE,U,BAS,Ik Ben Bewust Onderwijs IJskwarts,Hoofdweg 15.0 ,7707RB,BALKBRUG,Overijssel,Active,Regular Primary School,1.1,2020s,,2024-01-01 to Present,2024-01-01,
32FV,U,BAS,’t Speelhuys Doetinchem,Dr Huber Noodtstraat 33.0 a,7001DS,DOETINCHEM,Gelderland,Active,Regular Primary School,1.1,2020s,,2024-01-01 to Present,2024-01-01,
32DH,U,BAS,Ik Ben Bewust Onderwijs Heliotroop,Jan Willemszstraat 18.0 ,1624CH,HOORN NH,Noord-Holland,Active,Regular Primary School,1.4,2020s,,2023-09-01 to Present,2023-09-01,
32DL00,D,VST,VO de Smaragd,Groeneweg 9.0 ,3059LC,ROTTERDAM,Zuid-Holland,Active,Primary Branch Location,1.4,2020s,,2023-09-01 to Present,2023-09-01,
32DM00,D,VST,Libertà College,Aardrijk 47.0 ,4824BS,BREDA,Noord-Brabant,Active,Primary Branch Location,1.4,2020s,,2023-09-01 to Present,2023-09-01,
32DM00,D,VST,Libertà College,Parklaan 2.0 ,4873ER,ETTEN-LEUR,Noord-Brabant,Active,Primary Branch Location,1.4,2020s,,2023-09-01 to Present,2023-09-01,
32DT00,D,VST,Voorhof,Guido Gezellelaan 86.0 ,2624LA,DELFT,Zuid-Holland,Active,Primary Branch Location,1.4,2020s,,2023-09-01 to Present,2023-09-01,
32EB00,D,VST,Avonturis Roosendaal,Lavadijk 185.0 ,4706KZ,ROOSENDAAL,Noord-Brabant,Active,Primary Branch Location,1.4,2020s,,2023-09-01 to Present,2023-09-01,
32EF00,D,VST,Wondering,Udenseweg 2.0 ,5405PA,UDEN,Noord-Brabant,Active,Primary Branch Location,1.4,2020s,,2023-09-01 to Present,2023-09-01,
18ZJ13,D,VST,Locatie Dovenetel Zwaag,Dovenetel 78.0 ,1689SM,ZWAAG,Noord-Holland,Closed,Primary Branch Location,1.0,2020s,2020s,2023-08-01 to 2024-08-01,2023-08-01,2024-08-01
02RH16,D,VST,Brederocollege,Jacob Catssingel 10.0 ,4819HC,BREDA,Noord-Brabant,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
03IJ03,D,VST,Vierbeek College,Wijnand van Arnhemweg 1.0 ,6862XM,OOSTERBEEK,Gelderland,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
04AN01,D,VST,De Opmaat,Nieuw Wehlseweg 14.0 ,7031HW,WEHL,Gelderland,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
04GJ03,D,VST,VSO De Stormvogel,Van Oostzanenstraat 11.0 ,1624GJ,HOORN NH,Noord-Holland,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
08JH02,D,VST,Basisschool Futura - school met de Bijbel,Beugel 201.0 ,8447AT,HEERENVEEN,Friesland,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
11EL02,D,VST,Dynamis,Stan Kentonhof 86.0 ,1628TR,HOORN NH,Noord-Holland,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
11FY01,D,VST,Openbare Basisschool Kudelstaart,Zonnedauwlaan 65.0 ,1433WB,KUDELSTAART,Noord-Holland,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
16VK06,D,VST,"OMO Scholengroep De Langstraat voor vwo havo mavo vbo, Scholengemeenschap De Ove",Eikendonklaan 3.0 ,5143NG,WAALWIJK,Noord-Brabant,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
17HN04,D,VST,Elzendaalcollege Rooms Katholieke Scholengemeenschap voor Lyc Havo Mavo,Stevensbeekseweg 8.0 a,5844AB,STEVENSBEEK,Noord-Brabant,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
17HN05,D,VST,Elzendaalcollege Rooms Katholieke Scholengemeenschap voor Lyc Havo Mavo,Stationsweg 5.0 ,5831CR,BOXMEER,Noord-Brabant,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
17YS24,D,VST,Esprit Techschool,Darlingstraat 2.0 ,1102MX,AMSTERDAM,Noord-Holland,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
19SY01,D,VST,De Linde,Rubensstraat 6.0 ,7412GZ,DEVENTER,Overijssel,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
19TG01,D,VST,Anne Flokstra,Paulus Potterstraat 8.0 ,7204CV,ZUTPHEN,Gelderland,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
21GU12,D,VST,Scholengroep Esloo locatie John Dewey College,St. Barbaraweg 4.0 ,2516BT,'S-GRAVENHAGE,Zuid-Holland,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
21GU12,D,VST,"Esloo VO voor bijzonder vwo, havo, mavo, vmbo, pro - John Dewey College",Mercuriusweg 1.0 ,2516AW,'S-GRAVENHAGE,Zuid-Holland,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
31WE,U,BAS,Kindcentrum Warande,Haagwinde 2.0 ,8245HW,LELYSTAD,Flevoland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
31WF,U,BAS,Park16Hoven,Tinbergenlaan 52.0 ,3045BJ,ROTTERDAM,Zuid-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
31WG,U,BAS,Globetrotter Katendrecht,Maashavenkade 225.0 ,3072ES,ROTTERDAM,Zuid-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
31WH,U,BAS,Van Dijckschool,Van Dijcklaan 4.0 ,3723CG,BILTHOVEN,Utrecht,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
31WJ,U,BAS,De Hoeksteen,Zandoogje 1.0 ,3863HS,NIJKERK,Gelderland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
31WK,U,BAS,Vreeswijk,Koninginnenlaan 5.0 ,3433CT,NIEUWEGEIN,Utrecht,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
31WL,U,BAS,IKC De Weide,Doyenneperenlaan 1.0 ,3452EC,VLEUTEN,Utrecht,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
31WM,U,BAS,Hendrik Boogaard,Rode Kruislaan 3.0 ,3223MA,HELLEVOETSLUIS,Zuid-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
31WN,U,BAS,De Leest,Gruiterstraat 1.0 ,4871KS,ETTEN-LEUR,Noord-Brabant,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
31WP,U,BAS,De Klinker,Polderlaan 9.0 ,3261ZA,OUD-BEIJERLAND,Zuid-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
31XT00,D,VST,Duinzigt Havo,Wijttenbachweg 23.0 ,2341VX,OEGSTGEEST,Zuid-Holland,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32AG,U,BAS,IKC Hoi Pippeloi,Ds. Petersenstraat 3.0 ,9641EM,VEENDAM,Groningen,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32AH,U,BAS,IKC Cadans Weesp,Papelaan 99.0 ,1382RK,WEESP,Noord-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32AJ00,D,VST,Stichting voor Voortgezet Vrijeschool Onderwijs Delft Mercurius,Molenstraat 22.0 ,2611KA,DELFT,Zuid-Holland,Active,Primary Branch Location,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32AK,U,BAS,Oosterwold,Danslaan 60.0 ,1326NA,ALMERE,Flevoland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32AN,U,BAS,Sebaschool Kesteren,Tollenhof 1.0 ,4041BH,KESTEREN,Gelderland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32AP,U,BAS,Ababil,Dr. Jan Schoutenlaan 3.0 ,3145SX,MAASSLUIS,Zuid-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32AT,U,BAS,De Dadelpalm,Van Moerkerkenstraat 89.0 ,1064KC,AMSTERDAM,Noord-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32AU,U,BAS,De Verwondering,Wouddijk 12.0 ,3238LG,ZWARTEWAAL,Zuid-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32AU,U,BAS,De Verwondering,Maasdijk 18.0 ,3238LB,ZWARTEWAAL,Zuid-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32AU,U,BAS,De Verwondering,Geuzenpark 4.0 ,3237KN,VIERPOLDERS,Zuid-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32AW,U,BAS,Buitenwijs,Nilantsweg 77.0 ,8041AR,ZWOLLE,Overijssel,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32AW,U,BAS,Buitenwijs,Palestrinalaan 915.0 ,8031VA,ZWOLLE,Overijssel,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32AX,U,BAS,Islamitische Basisschool,Schiekade 34.0 ,3032AJ,ROTTERDAM,Zuid-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32AX,U,BAS,Hiraa,Kromhoutstraat 1.0 7,3067AE,ROTTERDAM,Zuid-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BA,U,BAS,Aarlesche Erven,Raadhuisplein 30.0 D,5683EA,BEST,Noord-Brabant,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BA,U,BAS,Op 't Erf,Den Dries 17.0 ,5684MD,BEST,Noord-Brabant,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BB,U,BAS,Iqra,Pablo Picassoplein 120.0 126,4382KB,VLISSINGEN,Zeeland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BD,U,BAS,Elif Amstelveen,Schweitzerlaan 6.0 ,1187JD,AMSTELVEEN,Noord-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BG,U,BAS,Vrije School Thula,Obiplein 115.0 ,1094RB,AMSTERDAM,Noord-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BM,U,BAS,Park16Hoven,Tinbergenlaan 50.0 52,3045BJ,ROTTERDAM,Zuid-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BN,U,BAS,Vrije School Rotterdam West,Velsenluststraat 7.0 ,3021AW,ROTTERDAM,Zuid-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BP,U,BAS,Hertogin Johanna locatie V,Vianenstraat 106.0 ,5342AJ,OSS,Noord-Brabant,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BR,U,BAS,Rehoboth school,Koninginnelaan 46.0 ,3905GJ,VEENENDAAL,Utrecht,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BT,U,BAS,Julianaschool Kwartellaan,Kwartellaan 4.0 ,1403BE,BUSSUM,Noord-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BU,U,BAS,St. Franciscus,Star Numanstraat 52.0 ,9714JS,GRONINGEN,Groningen,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BV,U,BAS,De Wending,Morelberg 102.0 ,4708NL,ROOSENDAAL,Noord-Brabant,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BW,U,BAS,Villa Vrolijk,Harry Banninkstraat 3.0 ,1223MP,HILVERSUM,Noord-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BX,U,BAS,IKC de Rietzee,Slenk 2.0 ,9746RS,GRONINGEN,Groningen,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BY,U,BAS,Aurijn,Hemonystraat 19.0 A,7203HV,ZUTPHEN,Gelderland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BY,U,BAS,Auryn,Marga Klompelaan 2.0 ,7207KA,ZUTPHEN,Gelderland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32BZ,U,BAS,El Amana,Winterboeidreef 10.0 ,3561HX,UTRECHT,Utrecht,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32CA,U,BAS,Al Amana,Zoete Inval 10.0 ,3901SM,VEENENDAAL,Utrecht,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32CF,U,BAS,Kindcentrum Sluisbuurt,Cruquiusweg 88.0 ,1019AJ,AMSTERDAM,Noord-Holland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32CJ,U,BAS,Oosterwold,Burchard de Volderstraat 19.0 ,1349HJ,ALMERE,Flevoland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32CL,U,BAS,De Bonte Boomhut,Blauwe Hof 4006.0 ,6602WX,WIJCHEN,Gelderland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32FF,U,BAS,Mango,Kanunnik van Osstraat 81.0 ,6525TW,NIJMEGEN,Gelderland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32FF,U,BAS,Mango- onderwijs,Nijmeegsebaan 21.0 a,6561KE,GROESBEEK,Gelderland,Active,Regular Primary School,1.5,2020s,,2023-08-01 to Present,2023-08-01,
32DJ,U,BAS,Vovie Samen,Jules Massenethof 13.0 ,2551XC,'S-GRAVENHAGE,Zuid-Holland,Active,Regular Primary School,1.6,2020s,,2023-07-01 to Present,2023-07-01,
32DJ,U,BAS,VIORA,Zwethlaan 28.0 ,2675LB,HONSELERSDIJK,Zuid-Holland,Active,Regular Primary School,1.6,2020s,,2023-07-01 to Present,2023-07-01,
32DB,U,BAS,Wereld-Rijk,Domineeshoef 2.0 ,5374NK,SCHAIJK,Noord-Brabant,Active,Regular Primary School,1.6,2020s,,2023-06-01 to Present,2023-06-01,
