NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF
09LW,U,BAS,Rk Basisschool De Blok- Kenberg,Akkerheide 19.0 ,6463DC,KERKRADE,Limburg,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09LZ,U,BAS,Basissch De Stokland,Jupiterstraat 3.0 ,5694TG,SON EN BREUGEL,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MF,U,BAS,Basisschool Alfons Ariens,Middelste Wei 4.0 ,3844HT,HARDERWIJK,Gelderland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MF,U,BAS,Basisschool Alfons Ariens,Kamillemeen 1.0 ,3844HZ,HARDERWIJK,Gelderland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MG,U,BAS,Rooms Katholieke Basisschool Frans ten Bosch,De Rode Van Heeckerenstr 26.0 ,7131ER,LICHTENVOORDE,Gelderland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MH,U,BAS,Basisschool St Maartens,Wijkerlaan 10.0 ,2271EP,VOORBURG,Zuid-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MJ,U,BAS,Basisschool Heiakker,Patrijs 33.0 ,5754DJ,DEURNE,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MK,U,BAS,De Peelparel,Oude Peelstraat 10.0 ,5759PC,HELENAVEEN,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MK,U,BAS,De Peelparel,Koolweg 36.0 a,5759PX,HELENAVEEN,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09ML,U,BAS,Rooms Katholieke Basisschool De Schacht,Belemnieterf 10.0 ,6413LZ,HEERLEN,Limburg,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MN,U,BAS,Basisschool Don Sarto,Oude Hilvarenbeekseweg 1.0 ,5022EM,TILBURG,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MN,U,BAS,RK Basisschool Don Sarto,Oude Hilvarenbeekseweg 15.0 ,5022EM,TILBURG,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MO,U,BAS,Basisschool 't Reuvelt,Past Tijssenstraat 18.0 A,5971VW,GRUBBENVORST,Limburg,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MP,U,BAS,Christelijke Basisschool De Fontein,Foarwei 54.0 ,9104BX,DAMWALD,Friesland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
