NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,education_sector,institution_type,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,is_active,CODE_STAND_RECORD,location_type,function_type,education_type,temporal_status,years_of_operation
00DI,U,VOS,secondary,main,Regionale Scholengemeenschap De Borgen,Waezenburglaan 51.0 ,9351HC,LEEK,Groningen,1966-08-01,,True,H,VOS,U,Regular Secondary School,Active,58.5
00DI,U,VOS,secondary,main,regionale scholengemeenschap de Borgen,Waezenburglaan 51.0 a,9351HC,LEEK,Groningen,1966-08-01,,True,H,VOS,U,Regular Secondary School,Active,58.5
00DI,U,VOS,secondary,main,R.S.G. de Borgen,Waezenburglaan 51.0 a,9351HC,LEEK,Groningen,1966-08-01,,True,H,VOS,U,Regular Secondary School,Active,58.5
00DI,U,VOS,secondary,main,rsg de Borgen voor Lyceum Havo Mavo Vbo Lwoo,Waezenburglaan 51.0 a,9351HC,LEEK,Groningen,1966-08-01,,True,H,VOS,U,Regular Secondary School,Active,58.5
00DI,U,VOS,secondary,main,rsg de Borgen voor Lyceum Havo Mavo Vbo Lwoo,Waezenburglaan 51.0 a,9351HC,LEEK,Groningen,1966-08-01,,True,A,VOS,U,Regular Secondary School,Active,58.5
00DI03,D,VSTS,secondary,locations,Regionale Scholengemeenschap De Borgen,Kersenlaan 16.0 ,9861CR,GROOTEGAST,Groningen,2000-08-01,,True,H,VSTS,D,Secondary Branch Location,Active,24.5
00DI03,D,VSTS,secondary,locations,regionale scholengemeenschap de Borgen,Kersenlaan 16.0 ,9861CR,GROOTEGAST,Groningen,2000-08-01,,True,H,VSTS,D,Secondary Branch Location,Active,24.5
00DI03,D,VSTS,secondary,locations,R.S.G. de Borgen,Kersenlaan 16.0 ,9861CR,GROOTEGAST,Groningen,2000-08-01,,True,H,VSTS,D,Secondary Branch Location,Active,24.5
00DI03,D,VSTS,secondary,locations,rsg de Borgen voor Lyceum havo mavo Vbo Lwoo,Kersenlaan 16.0 ,9861CR,GROOTEGAST,Groningen,2000-08-01,,True,H,VSTS,D,Secondary Branch Location,Active,24.5
00DI03,D,VSTS,secondary,locations,rsg de Borgen voor Lyceum havo mavo Vbo Lwoo,Kersenlaan 16.0 ,9861CR,GROOTEGAST,Groningen,2000-08-01,,True,A,VSTS,D,Secondary Branch Location,Active,24.5
00DI04,D,VSTZ,secondary,locations,Regionale Scholengemeenschap De Borgen,Schoolstraat 1.0 ,9301KB,RODEN,Drenthe,2001-08-01,,True,H,VSTZ,D,Secondary Care Location,Active,23.5
