NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,latitude,longitude
23AH12,D,LOC,Hs Enschede Locatie Sloets- Weg 155,Sloetsweg 155.0 ,7556HM,HENGELO OV,Overijssel,Closed,Higher Education Branch,9.0,1980s,1990s,1989-01-01 to 1998-01-01,1989-01-01,1998-01-01,52.2739644,6.797907299999999
23AH04,D,LOC,Hs Enschede Locactie Korte- Naerstr 4,Kortenaerstraat 4.0 ,7513AE,ENSCHEDE,Overijssel,Closed,Higher Education Branch,11.0,1980s,2000s,1989-01-01 to 2000-01-01,1989-01-01,2000-01-01,52.2182987,6.884461099999999
23AH05,D,LOC,Hs Enschede Locatie Korte- Naerstr 42,Kortenaerstraat 42.0 ,7513AH,ENSCHEDE,Overijssel,Closed,Higher Education Branch,11.0,1980s,2000s,1989-01-01 to 2000-01-01,1989-01-01,2000-01-01,52.2202732,6.884753799999999
23AH06,D,LOC,Hs Enschede Locatie Korte- Naerstr 44,Kortenaerstraat 44.0 ,7513AH,ENSCHEDE,Overijssel,Closed,Higher Education Branch,11.0,1980s,2000s,1989-01-01 to 2000-01-01,1989-01-01,2000-01-01,52.220318,6.88477
23AH10,D,LOC,Hs Enschede Locatie Schut- Tersveld 15,Schuttersveld 15.0 ,7514AC,ENSCHEDE,Overijssel,Closed,Higher Education Branch,11.0,1980s,2000s,1989-01-01 to 2000-01-01,1989-01-01,2000-01-01,52.2226507,6.8804191
23AH02,D,LOC,Hogeschool Enschede Locatie Boulev/Brinkstraat,Brinkstraat 81.0 ,7512EC,ENSCHEDE,Overijssel,Closed,Higher Education Branch,12.2,1980s,2000s,1989-01-01 to 2001-04-01,1989-01-01,2001-04-01,52.2156969,6.900363800000001
23AH07,D,LOC,Hs Enschede Locatie Korte- Naerstr 50,Kortenaerstraat 50.0 ,7513AH,ENSCHEDE,Overijssel,Closed,Higher Education Branch,12.2,1980s,2000s,1989-01-01 to 2001-04-01,1989-01-01,2001-04-01,52.2202731,6.8847684
23AH03,D,LOC,Hs Enschede Locatie Hengelo- Sestr 100,Hengelosestraat 100.0 ,7514AK,ENSCHEDE,Overijssel,Closed,Higher Education Branch,14.0,1980s,2000s,1989-01-01 to 2003-01-01,1989-01-01,2003-01-01,52.2250185,6.884680700000001
23AH09,D,LOC,Hs Enschede Locatie Tromp- Laan 30,M.H. Tromplaan 30.0 ,7513AB,ENSCHEDE,Overijssel,Closed,Higher Education Branch,16.8,1980s,2000s,1989-01-01 to 2005-10-05,1989-01-01,2005-10-05,52.220434,6.8862521
23AH13,D,LOC,Hs Enschede Locatie Van Essengaarde 10,Van Essengaarde 10.0 ,7511PN,ENSCHEDE,Overijssel,Closed,Higher Education Branch,16.8,1980s,2000s,1989-01-01 to 2005-10-05,1989-01-01,2005-10-05,52.222018,6.896569899999999
24KJ00,D,LOC,Stichting Assurantiecursussen Utrecht,Laan van Vollenhove 3029.0 ,3706AL,ZEIST,Utrecht,Closed,Higher Education Branch,15.6,1980s,2000s,1988-12-22 to 2004-08-01,1988-12-22,2004-08-01,52.1002837,5.220489199999999
24YR00,D,LOC,De Amsterdamsche School,Singel 106.0 ,1015AD,AMSTERDAM,Noord-Holland,Active,Higher Education Branch,36.1,1980s,,1988-12-22 to Present,1988-12-22,,52.3766234,4.891155599999999
24GJ00,D,LOC,Nederlands Opleidings Instituut voor Informatica BV,Bisonspoor 2016.0 ,3605LB,MAARSSEN,Utrecht,Closed,Higher Education Branch,15.6,1980s,2000s,1988-12-13 to 2004-08-01,1988-12-13,2004-08-01,52.1351552,5.0300996
24GF00,D,LOC,B&D HULSCHER OPLEIDINGEN,Lauwers 4.0 ,9405BL,ASSEN,Drenthe,Closed,Higher Education Branch,8.7,1980s,1990s,1988-12-01 to 1997-08-19,1988-12-01,1997-08-19,52.2511763,6.2156056
23FJ00,D,LOC,Opleiding voor Machinisten en Stokers,Markt 306.0 ,7551CJ,HENGELO OV,Overijssel,Closed,Higher Education Branch,9.6,1980s,1990s,1988-12-01 to 1998-07-01,1988-12-01,1998-07-01,52.5999895,6.4562349
24LM00,D,LOC,Stg Handelsexamens,Willemstraat 19.0 ,4811AJ,BREDA,Noord-Brabant,Closed,Higher Education Branch,15.7,1980s,2000s,1988-12-01 to 2004-08-01,1988-12-01,2004-08-01,51.5942072,4.779293399999999
24LM00,D,LOC,Stg Handelsexamens,Rechtestraat 26.0 a,5611GP,EINDHOVEN,Noord-Brabant,Closed,Higher Education Branch,15.7,1980s,2000s,1988-12-01 to 2004-08-01,1988-12-01,2004-08-01,51.4385667,5.478024599999999
24JN00,D,LOC,Instituut B O S,Smidspad 57.0 ,5046JB,TILBURG,Noord-Brabant,Closed,Higher Education Branch,20.7,1980s,2000s,1988-12-01 to 2009-08-01,1988-12-01,2009-08-01,51.5688386,5.0780939
24JY00,D,LOC,Stichting de nieuwe School,Herengracht 274.0 ,1016BW,AMSTERDAM,Noord-Holland,Closed,Higher Education Branch,20.7,1980s,2000s,1988-12-01 to 2009-08-01,1988-12-01,2009-08-01,52.3710079,4.886559699999999
24LA00,D,LOC,Studiecentrum ASR,Johan Huizingalaan 126.0 ,1065JE,AMSTERDAM,Noord-Holland,Closed,Higher Education Branch,23.7,1980s,2010s,1988-12-01 to 2012-08-01,1988-12-01,2012-08-01,52.360101,4.8267693
24FY00,D,LOC,Stichting Ivio,De Schans 1802.0 ,8231KA,LELYSTAD,Flevoland,Active,Higher Education Branch,36.1,1980s,,1988-12-01 to Present,1988-12-01,,52.514156,5.473558
24FY00,D,LOC,Stichting Ivio,Pascallaan 71.0 ,8218NJ,LELYSTAD,Flevoland,Active,Higher Education Branch,36.1,1980s,,1988-12-01 to Present,1988-12-01,,52.4730803,5.4942958
24KX,U,HBOS,Hogeschool Nederland,Kroonpark 2.0 ,6831GV,ARNHEM,Gelderland,Active,University of Applied Sciences,36.1,1980s,,1988-12-01 to Present,1988-12-01,,51.95888240000001,5.8915523
24LL00,D,LOC,Handelswettenschappelikke Cursus Zwolle BV,Van Nagellstraat 21.0 ,8011EA,ZWOLLE,Overijssel,Closed,Higher Education Branch,15.7,1980s,2000s,1988-11-23 to 2004-08-01,1988-11-23,2004-08-01,52.5076388,6.092540500000001
24GR00,D,LOC,Instituut Vakonderwijs,Sagittalaan 24.0 ,5632AL,EINDHOVEN,Noord-Brabant,Closed,Higher Education Branch,16.7,1980s,2000s,1988-11-23 to 2005-08-01,1988-11-23,2005-08-01,51.4680148,5.5048569
24GV00,D,LOC,Stichting Assurantie OpLeidingen Rotterdam,Beursplein 37.0 ,3011AA,ROTTERDAM,Zuid-Holland,Closed,Higher Education Branch,15.7,1980s,2000s,1988-11-21 to 2004-08-01,1988-11-21,2004-08-01,51.9208216,4.4810539
