full_address,latitude,longitude
"Weena 743 , 3013AL, ROTTERDAM, Zuid-Holland, Netherlands",51.9228454,4.4657152
"Zuster Hennekeplein 80 , 3033BW, ROTTERDAM, Zuid-Holland, Netherlands",51.9264331,4.4749237
"Zuster Hennekeplein 80 , 3033BW, ROTTERDAM, Zuid-Holland, Netherlands",51.9264331,4.4749237
"Aleyda van Raephorstlaan 245 , 3054CR, ROTTERDAM, Zuid-Holland, Netherlands",51.95941939999999,4.4834875
"Baljuwstraat 2 , 3039AK, ROTTERDAM, Zuid-Holland, Netherlands",51.92781489999999,4.4646944
"Baljuwstraat 2 , 3039AK, ROTTERDAM, Zuid-Holland, Netherlands",51.92781489999999,4.4646944
"Sportlaan 90 , 3078WR, ROTTERDAM, Zuid-Holland, Netherlands",51.8879865,4.5347819
"Sportlaan 90 , 3078WR, ROTTERDAM, Zuid-Holland, Netherlands",51.8879865,4.5347819
"Catullusweg 440 , 3076KH, ROTTERDAM, Zuid-Holland, Netherlands",51.8744331,4.5241652
"Rosestraat 1101 , 3071AL, ROTTERDAM, Zuid-Holland, Netherlands",51.9034135,4.5097593
"Rosestraat 1101 , 3071AL, ROTTERDAM, Zuid-Holland, Netherlands",51.9034135,4.5097593
"Breitnerstraat 92 -94, 3015XJ, ROTTERDAM, Zuid-Holland, Netherlands",51.9140753,4.467108200000001
"Albrandswaardsedijk 74 , 3172AA, POORTUGAAL, Zuid-Holland, Netherlands",51.84558999999999,4.3955605
"Albrandswaardsedijk 74 , 3172AA, POORTUGAAL, Zuid-Holland, Netherlands",51.84558999999999,4.3955605
"Burg Van Haarenlaan 1155 , 3118GC, SCHIEDAM, Zuid-Holland, Netherlands",51.9197442,4.383182
"De Vloot 207 , 3144PK, MAASSLUIS, Zuid-Holland, Netherlands",51.9304458,4.2422828
"De Vloot 61 67 68, 3144PC, MAASSLUIS, Zuid-Holland, Netherlands",51.929606,4.245204
"Karel Doormanstraat 19 , 3262PB, OUD-BEIJERLAND, Zuid-Holland, Netherlands",51.8238884,4.410747
"Schoolstraat 9 A, 3241CT, MIDDELHARNIS, Zuid-Holland, Netherlands",51.75889859999999,4.1618903
"Schoolstraat 9 A, 3241CT, MIDDELHARNIS, Zuid-Holland, Netherlands",51.75889859999999,4.1618903
"Schoolstraat 9 A, 3241CT, MIDDELHARNIS, Zuid-Holland, Netherlands",51.75889859999999,4.1618903
